Matched: 1854, Unmatched: 96

=== UNMATCHED CARDS ===

[v6_b01_N01] len=42
  citation: 强大的客户
  knowledge: 私人银行容易被用于洗钱的原因之一——强大的客户

[v6_b10_N07] len=5
  citation: 高度保密性
  knowledge: 私人银行容易被用于洗钱的原因之一——高度保密性

[v6_b11_N34] len=15
  citation: •Petrobras：2020
  knowledge: Petrobras案——2020年，涉及拆分交易（原文片段截断）

[v6_b12_N09] len=72
  citation: (Smurfing)是一种常见的拆分交易方法，它利用多人存储多笔现金存款和 / 或购买多项金融票据或银行汇票，但其额度均不超过报告阈值，以逃避侦测。
  knowledge: Smurfing（化整为零）的定义——利用多人存储多笔现金存款和/或购买多项金融票据或银行汇票，额均不超过报告阈值以逃避侦测

[v6_b14_N25] len=148
  citation: 在一份题为《通过信用卡洗钱的未知领域》(Extent of Money Laundering throughCredit Cards Is Unknown) 的报告中，美国国会监督机构——美国政府问责办 (U.S.Government Ac
  knowledge: GAO报告《通过信用卡洗钱的未知领域》列举多个利用信用卡洗钱的虚拟场景

[v6_b15_N10] len=24
  citation: 从商户整体层面来看，不法商户的总体退款率与偏高。
  knowledge: 不法商户的总体退款率偏高（补充说明未授权交易退款率风险）

[v6_b17_N35] len=8
  citation: 具备资产转移功能
  knowledge: 高风险保险产品特征三——具备资产转移功能

[v6_b18_N16] len=32
  citation: 金融行动特别工作组洗钱类型报告中指出了更多保险业存在的洗钱类型：
  knowledge: FATF洗钱类型报告指出了更多保险业洗钱类型（引导句）

[v6_b18_N38] len=3
  citation: 国际性
  knowledge: 证券行业洗钱高风险原因——国际性

[v6_b18_N39] len=4
  citation: 交易速度
  knowledge: 证券行业洗钱高风险原因——交易速度

[v6_b18_N54] len=49
  citation: 金融行动特别工作组发布的《证券行业洗钱和恐怖融资活动类型报告》指出证券行业的下列领域洗钱风险最高：
  knowledge: FATF《证券行业洗钱和恐怖融资活动类型报告》指出证券行业高风险领域（引导句）

[v6_b18_N55] len=4
  citation: 批发市场
  knowledge: FATF报告——证券行业洗钱高风险领域：批发市场

[v6_b18_N56] len=7
  citation: 不受管制的基金
  knowledge: FATF报告——证券行业洗钱高风险领域：不受管制的基金

[v6_b18_N58] len=4
  citation: 投资基金
  knowledge: FATF报告——证券行业洗钱高风险领域：投资基金

[v6_b18_N59] len=5
  citation: 不记名证券
  knowledge: FATF报告——证券行业洗钱高风险领域：不记名证券

[v6_b18_N60] len=2
  citation: 汇票
  knowledge: FATF报告——证券行业洗钱高风险领域：汇票

[v6_b19_N02] len=79
  citation: 金融行动特别工作组发布的《证券行业洗钱和恐怖融资活动类型报告》指出证券行业的下列领域洗钱风险最高：•批发市场•不受管制的基金•理财•投资基金•不记名证券•汇票
  knowledge: FATF《证券行业洗钱和恐怖融资活动类型报告》指出证券行业洗钱风险最高的六大领域

[v6_b19_N45] len=7
  citation: 这些缺陷包括：
  knowledge: 德银反洗钱控制框架的具体缺陷列表

[v6_b21_N28] len=97
  citation: 客户向老虎机里塞入大量小面额纸币，即"以钱换钱 (bill-stufﬁng)"，进行最低限度的赌博后或不参与赌博，就在柜台将领款券换为大面额纸币，或将从老虎机获取的、看似合法的奖金兑换为赌场支票。
  knowledge: 最低限度赌博可疑行为——"以钱换钱"(bill-stuffing)，向老虎机塞入大量小面额纸币后最低限度赌博或不赌博，换取大面额纸币或赌场支票

[v6_b22_N27] len=15
  citation: ### 赌场（案例：洗钱的方法）
  knowledge: 赌场案例——洗钱的方法

[v6_b23_N12] len=20
  citation: 要点•赌场收银台可能被用来处置非法所得。
  knowledge: 要点之一——赌场收银台可能被用来处置非法所得

[v6_b23_N18] len=135
  citation: 金融行动特别工作组发布了一份名为《黄金业相关洗钱 / 恐怖融资风险和漏洞》 (MoneyLaundering/Terrorist Financing Risks and Vulnerabilities Associated with Gol
  knowledge: FATF发布《黄金业相关洗钱/恐怖融资风险和漏洞》报告对洗钱类型报告做补充说明

[v6_b23_N31] len=86
  citation: 下列交易同样容易被洗钱者利用，需特别引起注意：•向物主以外的个人付款或退款：如果有人拿出贵金属要求精炼并声称自己是物主、有权出售，但要求向另一人付款，则这笔交易就比较可疑。
  knowledge: 向物主以外的个人付款或退款属于可疑交易——声称自己是物主但要求向他人付款

[v6_b23_N33] len=49
  citation: •贵金属池账户：这些账户的持有人是极少数规模巨大而且业务复杂的贵金属公司，它们在全世界范围内运作。
  knowledge: 贵金属池账户的定义——极少数规模巨大业务复杂的贵金属公司在全球范围内运作

[v6_b24_N17] len=8
  citation: 了解反洗钱法规。
  knowledge: 反洗钱原则之一——了解反洗钱法规

[v6_b24_N25] len=24
  citation: ### 利用贵金属隐匿贩毒所得（案例：洗钱的方法）
  knowledge: 洗钱方法之一——利用贵金属隐匿贩毒所得

[v6_b24_N32] len=116
  citation: 要点金融犯罪分子非常喜欢将非法所得兑换成贵金属和宝石，这是因为：•这类物品体积小价值高，具备长期保值特点。•它们运输方便，可以在不报关的情况下实现价值跨境转移。•它们的来源难以追溯。•它们在世界多数地区可轻松兑换现金或当作货币使用。
  knowledge: 要点总结——金融犯罪分子偏好贵金属和宝石的四项原因

[v6_b24_N44] len=22
  citation: ### 利用艺术品进行洗钱（案例：洗钱的方法）
  knowledge: 洗钱方法之一——利用艺术品进行洗钱

[v6_b25_N46] len=7
  citation: 欧盟第五号指令
  knowledge: 艺术品市场反洗钱反恐融资法规之三——欧盟第五号指令

[v6_b27_N17] len=9
  citation: 为金融组织提供引介
  knowledge: 高风险服务之五——为金融组织提供引介

[v6_b27_N18] len=6
  citation: 开展特定诉讼
  knowledge: 高风险服务之六——开展特定诉讼

[v6_b27_N19] len=9
  citation: 建立并管理慈善组织
  knowledge: 高风险服务之七——建立并管理慈善组织

[v6_b27_N23] len=4
  citation: 过于隐秘
  knowledge: 客户危险信号之一——过于隐秘

[v6_b28_N41] len=6
  citation: 它们是什么？
  knowledge: 引出商品期货相关概念的定义——它们是什么？

[v6_b29_N30] len=34
  citation: 金融行动特别工作组在《信托和公司服务提供商风险为本方法指南》中指出，
  knowledge: FATF在《信托和公司服务提供商风险为本方法指南》中定义信托和公司服务提供商

[v6_b30_N39] len=96
  citation: 金融犯罪执法网络 (FinCEN) 通过分析可疑活动报告发布了《房地产中的可疑洗钱活动》(Suspected Money Laundering in the Real Estate Industry) 评估报告。
  knowledge: FinCEN通过分析可疑活动报告发布《房地产中的可疑洗钱活动》评估报告

[v6_b31_N06] len=84
  citation: 简报指出，房地产之所以成为极具吸引力的非法资金清洗渠道，有以下几个原因：•可用现金购买。•最终受益所有人可得以掩饰。•这项投资相对稳定可靠。•可通过翻新和装修提升价值。
  knowledge: 房地产成为具有吸引力的洗钱渠道的四大原因

[v6_b31_N10] len=364
  citation: 在澳大利亚，利用房地产洗钱的常见方式包括：•利用第三方稻草买家，即所谓的'无前科人士 (cleanskin)'•用贷款和按揭掩饰洗钱活动，洗钱犯罪分子可能通过用大量现金还贷，将非法资金融入经济•操控房产价值，通过提高或降低价值，掩盖未被发现
  knowledge: 在澳大利亚利用房地产洗钱的常见方式（十种方式列举）

[v6_b31_N11] len=32
  citation: 利用第三方稻草买家，即所谓的'无前科人士 (cleanskin)'
  knowledge: 利用第三方稻草买家（俗称"无前科人士"）是房地产洗钱方式之一

[v6_b31_N23] len=132
  citation: 这些危险信号包括：•在购买房产、支付首付和还贷时，为筹集资金而多次使用现金•短期内进行多次买卖，房产价值可能过高或过低，或利用稻草买家•向离岸贷方借款•购房资金来源不明，例如使用一笔来自国外的汇款，而汇出方和受益人为同一人•所有权是客户与欲
  knowledge: 房地产洗钱的五大危险信号

[v6_b31_N26] len=7
  citation: 向离岸贷方借款
  knowledge: 向离岸贷方借款是房地产洗钱危险信号

[v6_b31_N36] len=95
  citation: 2016 年（《纽约时报》系列报道发表后），金融犯罪执法网络开始发布一系列地区目标企业整顿令 (GTO)，帮助执法机关识别未使用银行融资，而是通过有限责任公司和其他不透明结构购买豪华住宅的个人。
  knowledge: 2016年FinCEN开始发布地区目标企业整顿令(GTO)，识别通过LLC等不透明结构购买豪华住宅的个人

[v6_b31_N38] len=46
  citation: 非常值得注意的是，这里的'现金全款'是指不使用传统的融资方式，而不是说使用真正意义上的现金。
  knowledge: GTO中"现金全款"的含义——不使用传统融资方式，而非真正意义上的现金

[v6_b32_N13] len=110
  citation: 香港银行公会制定《打击以贸易进行洗钱活动的指引文件》 (Guidance Paper onCombating Trade-based Money Laundering)，文件指出，了解每笔贸易交易的商业目的是明确洗钱风险的关键要求。
  knowledge: 香港银行公会指引文件指出，了解每笔贸易交易的商业目的是明确洗钱风险的关键要求

[v6_b32_N14] len=406
  citation: 指引文件列举了六种利用贸易洗钱的手段，包括：1. 高开发票和低开发票：•高开发票：即卖方（即出口商）以高于市场公平价格的数额为商品或服务开具发票，借此从买方（即进口商）处谋取差价利润。 此种情境下，商品或服务的售价高于买方在公开市场收取的价
  knowledge: 香港银行公会列举六种利用贸易洗钱的手段

[v6_b33_N05] len=84
  citation: 根据金融犯罪执法网络的定义，流入账户是指'在一个地区开设的个人或公司账户，该账户收到多笔通常低于现金报告限额的现金存款，然后在另一地区内取出，存取活动的时间间隔极短。'
  knowledge: 流入账户的定义——在一地区开设的账户收到多笔低于现金报告限额的存款，在另一地区取出，存取间隔极短

[v6_b33_N06] len=236
  citation: 流入账户活动的潜在危险信号包括：•在美国某个州开通的账户接到不明人士从另一地区的分行存入的多笔现金存款，每笔均小于 1 万美元（现金报告限额）。•公司账户接到的存款来自于非业务开展区。•开设流入账户或向该账户存款的人不了解该账户的活动、账户
  knowledge: 流入账户活动的六大潜在危险信号

[v6_b35_N01] len=8
  citation: 意潜在可疑活动。
  knowledge: 留意潜在可疑活动

[v6_b35_N20] len=84
  citation: 查阅金融行动特别工作组的《洗钱和非法野生动物贸易》(Money Launderingand the Illegal Wildlife Trade) 报告，获取宝贵意见及了解危险信号
  knowledge: 打击方式四——查阅FATF《洗钱和非法野生动物贸易》报告获取意见及了解危险信号

[v6_b35_N43] len=5
  citation: 匿名持卡人
  knowledge: 预付卡风险因素——匿名持卡人

[v6_b35_N45] len=8
  citation: 匿名资金获取方式
  knowledge: 预付卡风险因素——匿名资金获取方式

[v6_b36_N01] len=106
  citation: 预付卡的常见潜在风险因素有：•匿名持卡人•匿名资金•匿名资金获取方式•高价值限额以及个人获取卡片数量不限•可通过自动柜员机在全球范围内取现•离岸发卡机构可能无须遵从任何司法管辖区的法律•用作大额现金走私的替代手段
  knowledge: FATF报告的预付卡常见潜在风险因素——匿名持卡人、匿名资金、匿名资金获取方式、高限额不限量、全球ATM取现、离岸发卡机构不受司法管辖、替代大额现金走私

[v6_b36_N14] len=8
  citation: 交易或钱包限额高
  knowledge: 电子货币风险因素——交易或钱包限额高

[v6_b36_N21] len=8
  citation: 无面对面交易活动
  knowledge: 电子货币风险因素——无面对面交易活动

[v6_b36_N39] len=61
  citation: 不过，金融行动特别工作组在其《数字身份》(Digital Identity) 指导文件里也提到，只要采取适当的系统和控制措施，
  knowledge: FATF《数字身份》指导文件指出只要采取适当的系统和控制措施

[v6_b37_N04] len=36
  citation: 例如，'强客户认证'为电子支付增加了额外的安全检查层次，以降低欺诈风险。
  knowledge: "强客户认证"为电子支付增加额外安全检查层次以降低欺诈风险

[v6_b37_N06] len=45
  citation: 虚拟货币不同于'法定货币'或'真实货币'，后者是指政府发行的货币，被普遍接受作为交易媒介。
  knowledge: 虚拟货币的定义——区别于政府发行并被普遍接受作为交易媒介的法定货币

[v6_b37_N19] len=68
  citation: 不过，基于交易所和所涉及之电子钱包提供商的监管状况，可能很难确定特定电子钱包地址的幕后人员、资金的来源以及资金在'法定'空间里的目的地。
  knowledge: 基于交易所和电子钱包提供商的监管状况，很难确定电子钱包地址幕后人员和资金流向

[v6_b37_N23] len=23
  citation: '使用者'指获取虚拟货币以购买商品或服务的人。
  knowledge: FinCEN定义"使用者"——获取虚拟货币以购买商品或服务的人

[v6_b37_N24] len=32
  citation: '交易者'指将虚拟货币兑换为真实货币、资金或其他虚拟货币的企业。
  knowledge: FinCEN定义"交易者"——将虚拟货币兑换为真实货币、资金或其他虚拟货币的企业

[v6_b37_N25] len=27
  citation: '管理者'指发行虚拟货币、有权赎回此等虚拟货币的企业。
  knowledge: FinCEN定义"管理者"——发行虚拟货币、有权赎回此等虚拟货币的企业

[v6_b37_N31] len=88
  citation: 这份指导文件详细说明了监管要求在不同情境的适用情况，包括涉及各类虚拟货币钱包提供商、虚拟货币兑换亭（常称为'加密货币 ATM'）和非集中化（分布式）应用程序（'DApp'）的情境
  knowledge: FinCEN指导文件涵盖虚拟货币钱包提供商、加密货币ATM和DApp的监管适用

[v6_b37_N37] len=26
  citation: 这通常称为'信息传送规则 (travel rule)'。
  knowledge: 第16项建议通常称为"信息传送规则(travel rule)"

[v6_b37_N43] len=44
  citation: 报告指出，虚拟货币最常见的滥用情形是用来买卖非法物质，特别是通过'暗网'进行的买卖活动。
  knowledge: 虚拟货币最常见滥用情形——买卖非法物质，特别是通过暗网

[v6_b37_N46] len=76
  citation: 金融行动特别工作组更新了向金融组织提供的指导文件，致力于设计一种风险为本的虚拟货币和虚拟资产服务处理办法，以打击虚拟资产相关活动的全面'去风险化'行为。
  knowledge: FATF更新指导文件，设计风险为本的虚拟货币和虚拟资产服务处理办法以打击"去风险化"

[v6_b37_N50] len=52
  citation: 这份指导文件还阐明了何时要对'去中心化金融'（简称'DeFi'）产品和服务实行金融行动特别工作组的标准。
  knowledge: FATF指导文件阐明了何时对DeFi产品和服务实行FATF标准

[v6_b38_N06] len=41
  citation: 在加密货币交易所发展初期，犯罪分子在这个被誉为金融服务'薄弱环节'的领域猖獗一时。
  knowledge: 加密货币交易所发展初期是金融服务"薄弱环节"，犯罪分子猖獗

[v6_b40_N07] len=31
  citation: 空架公司：不进行任何经营活动的公司；创建后便\"束之高阁\"。
  knowledge: 空架公司的定义——不进行任何经营活动的公司，创建后便束之高阁

[v6_b40_N10] len=157
  citation: 金融行动特别工作组发布了一份题为《包括信托和公司服务提供商在内的公司工具滥用》(The Misuse of Corporate Vehicles, Including Trust and Company ServiceProviders) 
  knowledge: FATF报告指出部分司法管辖区可轻松创建和解散公司组织形式，值得关注

[v6_b40_N22] len=64
  citation: 《加拿大洗钱活动》 (MoneyLaundering in Canada) 报告指出，出于洗钱目的而组建或控制空壳公司具备四个关联目的：
  knowledge: 加拿大报告指出洗钱目的下组建或控制空壳公司的四个关联目的之引述

[v6_b41_N41] len=53
  citation: 七国集团要求金融行动特别工作组于 2001 年 10 月 29 日在华盛顿主持召开反恐融资问题的\"特别全体会议\"。
  knowledge: 七国集团要求FATF于2001年10月29日召开反恐融资特别全体会议

[v6_b42_N32] len=38
  citation: 金融行动特别工作组建议，金融机构在评估潜在可疑活动时应做出\"合理判断\"。
  knowledge: FATF建议金融机构在评估潜在可疑活动时应做出"合理判断"

[v6_b42_N37] len=8
  citation: 账户交易金额过大
  knowledge: 恐怖融资风险因素之四——账户交易金额过大

[v6_b43_N09] len=50
  citation: 他们的资金来源包括：•毛特家族•伊斯兰国•销售 shabu（当地俚语，即"甲基苯丙胺"）•匿名移动支付
  knowledge: 毛特恐怖分子的四种资金来源——毛特家族、伊斯兰国、销售冰毒(shabu)、匿名移动支付

[v6_b44_N42] len=6
  citation: 享有公众信任
  knowledge: 慈善组织和非营利组织容易被恐怖融资利用的特征——享有公众信任

[v6_b44_N43] len=8
  citation: 掌握大量资金来源
  knowledge: 慈善组织和非营利组织容易被恐怖融资利用的特征——掌握大量资金来源

[v6_b44_N44] len=5
  citation: 多使用现金
  knowledge: 慈善组织和非营利组织容易被恐怖融资利用的特征——多使用现金

[v6_b44_N47] len=110
  citation: 以下特征使得慈善组织和非营利组织特别容易成为恐怖融资活动所利用的对象：•享有公众信任•掌握大量资金来源•多使用现金•通常在全球范围内运作，且经常位于或靠近恐怖活动多发地区•活动通常很少或不受监管，且 / 或者设立几乎没有障碍
  knowledge: NPO易受恐怖融资利用的五大特征总述——公众信任、大量资金、多使用现金、全球运作近恐怖区、少监管/低设立门槛

[v6_b46_N33] len=9
  citation: 新型支付产品和服务
  knowledge: FATF警告的威胁之三——新型支付产品和服务

[v6_b46_N34] len=8
  citation: 恶意利用自然资源
  knowledge: FATF警告的威胁之四——恶意利用自然资源

