priority,status,category,chapter,question_number,block,problem,evidence,suggestion,textbook_reference
P2,确定问题,英文翻译/OCR,第五章,113,11652,选项 E 出现 alcohol anti-money laundering regulations，明显机器翻译/OCR 错误。,Check financial institutions to ensure that they comply with alcohol anti-money laundering regulations.,改为 anti-money laundering regulations 或 AML regulations；中文“醇反洗钱法规”也应改为“反洗钱法规”。,
P2,确定问题,核心术语,第五章,114,11668,SAR supporting documentation 被译回英文为 SAR certification documents，术语错误；该题与第112题实质重复。,statements about SAR certification documents；第112题使用 Supporting Documentation of SAR。,改为 SAR supporting documentation；考虑删除第112/114重复题之一或统一版本。,教材：可疑活动报告记录和所有支持文件应保存。
P2,确定问题,英文拼写/格式,第五章,110,11612,英文题干有多处拼接和拼写错误。,has animpeccable work record；When checking personnel files. The specialist finds...,改为 has an impeccable work record；把句子断裂处合并为完整从句。,
P2,确定问题,英文拼写/格式,第六章,12,11840,英文句子中 theMLRO 缺少空格。,"However, theMLRO did not report...",改为 the MLRO。,教材术语：洗钱报告专员 (MLRO)。
P2,需人工确认,答案疑似错误/证据获取,第六章,13,11854,答案给 A/C，但解析知识点是 Subpoena；教材说明实际 SAR 通常不能作为证据，支持文件可作为证据。C“要求 FIU 分享 STR 副本”可能不是“从机构获取文件”的最佳方式，E 搜查令反而是正式取证方式。,答案:A C；E: Acquire a search warrant to obtain the documents。,建议核对原题。若问题强调 law enforcement obtain documentation from an institution，需重点复核 A/E 或 subpoena/search warrant 方向。,教材：用于编写 SAR 或 CDD 文件的支持文件可以作为证据，而实际 SAR 却不能作为证据。
P2,确定问题,英文拼写/格式,第二章,171,2815,英文中 wasapproved 缺少空格。,This exception wasapproved by the senior loan underwriter.,改为 was approved。,
P2,确定问题,英文拼写/格式,第四章,195,9589,英文题干存在 are tail/customers account 等拼写和所有格错误。,A quarterly review is conducted on are tail customers account...,改为 A quarterly review is conducted on a retail customer's account...,
P2,确定问题,格式,多处,"47, 22, 149, 184, 180 等","760, 3224, 8730, 9376, 9302, 10433",多处美元金额前出现双美元符号 $$。,"$$12 million、$$100,000、$$510 million、$$1,250,000 等。",批量替换为单个 $，并检查是否由公式/Markdown 转换导致。,
P3,确定问题,题型标记,全篇,193题,多处,193 道题重复出现“(多选题)(多选题)”。,例如第二章 Q1、Q5、Q8 等。,批量替换为单个“(多选题)”。,
P3,需人工确认,重复题,多处,多组,多处,发现多组实质重复题，答案内容大体一致但选项顺序或翻译质量不同。,第五章 Q19/Q107；第三章 Q77/Q198；第三章 Q107/Q142；第四章 Q58/Q91；第二章 Q108/第五章 Q24；第二章 Q74/Q75；第五章 Q83/Q89。,若小程序题库不希望重复刷题，建议保留翻译更准确、解析更完整的版本。,
