英文文件,当前题号,字段,Excel行,修改原因,修改前,修改后
英文版第三章.docx,24,选项B,18,Repair the malformed option.,B.Persons residing in a having funds from countries with inadequate AML standards,"B.Persons residing in, or having funds from, countries with inadequate AML standards."
英文版第三章.docx,146,题干,21,Correct 'designing' and use the statutory term.,146.What does designing a country as being of ＂prime money laundering concern＂allow the U.S government to do?,146.What does designating a country as a jurisdiction of primary money laundering concern allow the U.S. government to do?
英文版第三章.docx,146,选项D,21,Correct the OFAC name and capitalization.,D.Ensure the inclusion of that country into the office of Foreign Asset Control country sanctions programs,D.Ensure that the country is included in sanctions programs administered by the Office of Foreign Assets Control.
英文版第三章.docx,175,题干,22,Correct OFAC capitalization and grammar.,175.Which statement is the most accurate in describing who must comply with office of Foreign Assets Control（OFAC）sanctions?,175.Which statement most accurately describes who must comply with Office of Foreign Assets Control (OFAC) sanctions?
英文版第三章.docx,175,选项D,22,Remove source text accidentally appended to the option.,"D.All U.S. citizens and permanent residents while located in the U.S., all U.S.-incorporated entities and their foreign branches, and all individuals within the United States. U. S. Sanctions Compliance Framework by OFAC","D.All U.S. citizens and permanent residents while located in the U.S., all U.S.-incorporated entities and their foreign branches, and all individuals within the United States."
英文版第四章.docx,75,选项A,23,"Correct capitalization, possessive form, and wording.",A.not Involved in the organizations AML compliance program and having a reporting line to the board of directors or committee there of,A.Not involved in the organization's AML compliance program and having a reporting line to the board of directors or a committee thereof.
英文版第四章.docx,152,题干,32,"Repair OCR, possessives, and sentence structure.",152.A quarterly review is conducted on are tail customers account at a bank located in a jurisdiction with currency reporting thresholds. A number of large deposits of financial instruments drawn on other institutions in amounts under thresholds were noted. This activity did not fit the accounts historical profile. A suspicious transaction report will most likely be filed if what also occurred?,"152.A quarterly review is conducted on a retail customer's account at a bank in a jurisdiction with currency reporting thresholds. Several large deposits of financial instruments drawn on other institutions, each below the reporting threshold, are identified. This activity is inconsistent with the account's historical profile. A suspicious transaction report is most likely to be filed if which additional activity occurred?"
英文版第四章.docx,188,题干,33,Remove duplicate dollar signs and restore surrounding spaces.,"188.A client is a wholesale auto business that operates as a used car lot. The client regularly ships vehicles internationally. In a four-month period, the client received wires totaling$$1,250,000 from a dealer in Benin in West Africa. All wires originated from Benin and were in increments of $$50,000.Account debits made to the account were payable to various transport companies. All incoming checks reference various vehicles purchased. Dock shipping receipts produced by the client to support account activity identify the vehicles but cannot easily be tied to the wires received.What is the suspicious behavior?","188.A client is a wholesale auto business that operates as a used car lot. The client regularly ships vehicles internationally. In a four-month period, the client received wires totaling $1,250,000 from a dealer in Benin in West Africa. All wires originated from Benin and were in increments of $50,000. Account debits made to the account were payable to various transport companies. All incoming checks reference various vehicles purchased. Dock shipping receipts produced by the client to support account activity identify the vehicles but cannot easily be tied to the wires received. What is the suspicious behavior?"
英文版第五章.docx,86,题干,25,Correct capital-I OCR in 'Financial'.,86.(多选题)What are the roles of a government FinanciaI Intelligence Unit（FIU）?（Choose Three.）,86.(多选题)What are the roles of a government Financial Intelligence Unit（FIU）?（Choose Three.）
英文版第五章.docx,108,选项E,26,Remove the erroneous word 'alcohol' and repair the option.,"E.Check financial institutions to ensure that they comply with alcohol anti-money laundering regulations.

",E.Examine financial institutions to ensure that they comply with anti-money laundering regulations.
英文版第五章.docx,89,题干,28,"Repair concatenation, punctuation, spelling, and sentence structure.",89.The anti-money laundering specialist of a small bank has identified suspicious activity at a branch located in an area of town where drug dealers are known to operate. An investigation of this activity discloses that the suspicious transactions occurred within the last 3 months and were processed by the same teller（cashier）. The teller （cashier） did not file an internal report of unusual activity on these transactions. When checking personnel files. The specialist finds that the teller（cashier）has been a trusted employee for over 15 years， has animpeccable work record， and has participated in several anti-money laundering training sessions. The specialist recently became aware that the employee＇s daughter has contracted a rare disease and is undergoing a very expensive treatment program. Regarding the teller＇s （cashier＇s） failure to report the unusual activity to the institution，the specialist should recommend,"89.An AML specialist at a small bank has identified suspicious activity at a branch located in an area known for drug trafficking. The investigation reveals that the suspicious transactions occurred during the past three months and were processed by the same teller. The teller did not file an internal unusual activity report. A review of personnel files shows that the teller has been a trusted employee for more than 15 years, has an impeccable work record, and has completed several AML training sessions. The specialist recently learned that the employee's daughter has a rare disease and is undergoing very expensive treatment. What should the specialist recommend regarding the teller's failure to report the unusual activity?"
英文版第六章.docx,9,题干,29,Insert the missing space.,"9.A Money Laundering Reporting Officer (MLRO) was aware that a strategically important client of the bank was sending money to human traffickers. However, theMLRO did not report the activity to law enforcement or move to exit the relationship. What is the legal term for the activity the MLRO engaged in?","9.A Money Laundering Reporting Officer (MLRO) was aware that a strategically important client of the bank was sending money to human traffickers. However, the MLRO did not report the activity to law enforcement or move to exit the relationship. What is the legal term for the activity the MLRO engaged in?"
英文版第三章.docx,38,题干,33,Replace duplicate dollar signs,"38.Historically, a tour guide has made monthly cash deposits averaging $$10,000. Over the past three months, the monthly deposits have averaged $$100,000. When the financial institution questions the increased deposits, the tour guide explains that there have been numerous conventions in town so business has increased substantially.Which further action(s) should the financial institution take?","38.Historically, a tour guide has made monthly cash deposits averaging $10,000. Over the past three months, the monthly deposits have averaged $100,000. When the financial institution questions the increased deposits, the tour guide explains that there have been numerous conventions in town so business has increased substantially.Which further action(s) should the financial institution take?"
英文版第三章.docx,54,题干,20,Correct lowercase-l/capital-I OCR to FIs,54.Which of the following are key metrics that provide valuable data to senior management about the effectiveness of an Fls AML controls?,54.Which of the following are key metrics that provide valuable data to senior management about the effectiveness of an FIs AML controls?
英文版第三章.docx,141,题干,20,Correct lowercase-l/capital-I OCR to FIs,141.What action does the USA PATRIOT Act allow the US government to take regarding financial institutions （Fls）that are based outside of the US?,141.What action does the USA PATRIOT Act allow the US government to take regarding financial institutions （FIs）that are based outside of the US?
英文版第三章.docx,141,选项B,20,Correct lowercase-l/capital-I OCR to FIs,B.Subpoena documents from Fls that have no presence in the US.,B.Subpoena documents from FIs that have no presence in the US.
英文版第三章.docx,141,选项C,20,Correct lowercase-l/capital-I OCR to FIs,C.Revoke the banking licenses of non-US Fls in countries outside the US.,C.Revoke the banking licenses of non-US FIs in countries outside the US.
英文版第三章.docx,142,题干,20,Correct lowercase-l/capital-I OCR to FIs,142.According to the USA PATRIOT Act，under which condition would US financial institutions （Fls）maintain correspondent accounts for foreign shell banks?,142.According to the USA PATRIOT Act，under which condition would US financial institutions （FIs）maintain correspondent accounts for foreign shell banks?
英文版第三章.docx,142,选项A,20,Correct lowercase-l/capital-I OCR to FIs,A.US Fls must be certified by the Financial Action Task Force to maintain correspondent accounts for foreign shell banks.,A.US FIs must be certified by the Financial Action Task Force to maintain correspondent accounts for foreign shell banks.
英文版第三章.docx,142,选项B,20,Correct lowercase-l/capital-I OCR to FIs,B.US Fls can open correspondent bank accounts for foreign shell banks but only in certain countries.,B.US FIs can open correspondent bank accounts for foreign shell banks but only in certain countries.
英文版第三章.docx,142,选项C,20,Correct lowercase-l/capital-I OCR to FIs,"C.US Fls must undertake a rigorous, risk-based approval process to open correspondent bank accounts for foreign shell banks.","C.US FIs must undertake a rigorous, risk-based approval process to open correspondent bank accounts for foreign shell banks."
英文版第三章.docx,142,选项D,20,Correct lowercase-l/capital-I OCR to FIs,D.US Fls cannot maintain correspondent bank accounts for foreign shell banks.,D.US FIs cannot maintain correspondent bank accounts for foreign shell banks.
英文版第三章.docx,197,题干,34,Remove the duplicate multiple-choice marker,197.(多选题)(多选题) Which of the following are risk factors a financial institution should examine when onboarding a new corporate customer？（Choose Three.）,197.(多选题) Which of the following are risk factors a financial institution should examine when onboarding a new corporate customer？（Choose Three.）
英文版第三章.docx,198,题干,34,Remove the duplicate multiple-choice marker,198.(多选题)(多选题)In which two ways do Financial Action Task Force-style regional bodies influence anti-money laundering and terrorist financing standards within their respective regions? (Choose two.),198.(多选题)In which two ways do Financial Action Task Force-style regional bodies influence anti-money laundering and terrorist financing standards within their respective regions? (Choose two.)
英文版第二章.docx,99,题干,33,Replace duplicate dollar signs,99.(多选题)An auction house dealing in fine art and antiques sells a well-known painting at a price of $$12 million to an agent bidding for a group of local investors. The same painting sold ten years prior at auction for $$5 million. The auction house receives payment for the painting via wire transfer from an account maintained in an offshore jurisdiction by the investor group. No beneficial ownership information is available for the account.What are the two money laundering red flags? (Choose two.),99.(多选题)An auction house dealing in fine art and antiques sells a well-known painting at a price of $12 million to an agent bidding for a group of local investors. The same painting sold ten years prior at auction for $5 million. The auction house receives payment for the painting via wire transfer from an account maintained in an offshore jurisdiction by the investor group. No beneficial ownership information is available for the account.What are the two money laundering red flags? (Choose two.)
英文版第二章.docx,168,题干,34,Remove the duplicate multiple-choice marker,168.(多选题)(多选题) Which two methods can be used to structure casino- related transactions? (Choose two.),168.(多选题) Which two methods can be used to structure casino- related transactions? (Choose two.)
英文版第五章.docx,44,题干,33,Replace duplicate dollar signs,"44.A customer has held an account at a bank and has lived locally for over 25 years. Historically he has come into the bank monthly to deposit a $$1,500 retirement check from the company where he worked. He is well known at the bank and often brings the staff cookies. Over the past four months, he has come into the bank every Monday, Wednesday, and Thursday to make $$3,000 cash deposits into his account. A review of his account shows that an $8,500 check made out to cash clears his account each week. The bank has decided to file a suspicious transaction report (STR).What is the important fact to include in the STR?","44.A customer has held an account at a bank and has lived locally for over 25 years. Historically he has come into the bank monthly to deposit a $1,500 retirement check from the company where he worked. He is well known at the bank and often brings the staff cookies. Over the past four months, he has come into the bank every Monday, Wednesday, and Thursday to make $3,000 cash deposits into his account. A review of his account shows that an $8,500 check made out to cash clears his account each week. The bank has decided to file a suspicious transaction report (STR).What is the important fact to include in the STR?"
英文版第四章.docx,177,选项D,33,Replace duplicate dollar signs,"D.A customer buying multiple money orders for $$250 totaling $$2,000 USD.","D.A customer buying multiple money orders for $250 totaling $2,000 USD."
英文版第四章.docx,184,题干,33,Replace duplicate dollar signs,"184.(多选题)A customer opens a corporate account with a broker- dealer on behalf of several beneficial owners, with a stated long-term investment goal. The customer deposits $$25.5 million into the account and three days later transfers $$5 million to an overseas bank. Shortly thereafter, the customer begins making numerous purchases of pesos. The compliance officer receives a query regarding the movement of funds. Within a month of account opening, the customer depletes the account.Which two red flags should prompt the firm's compliance officer to take action? (Choose two.)","184.(多选题)A customer opens a corporate account with a broker- dealer on behalf of several beneficial owners, with a stated long-term investment goal. The customer deposits $25.5 million into the account and three days later transfers $5 million to an overseas bank. Shortly thereafter, the customer begins making numerous purchases of pesos. The compliance officer receives a query regarding the movement of funds. Within a month of account opening, the customer depletes the account.Which two red flags should prompt the firm's compliance officer to take action? (Choose two.)"
英文版第三章.docx,54,题干,20,Use the singular possessive form required by the sentence.,54.Which of the following are key metrics that provide valuable data to senior management about the effectiveness of an FIs AML controls?,54.Which of the following are key metrics that provide valuable data to senior management about the effectiveness of an FI's AML controls?
英文版第三章.docx,85,题干,"8, 9（当前状态同类项）",The question asks for one threshold and the answer contains one option.,"85.(多选题)In the fourth directive of the European Union, what is the threshold for including natural persons or legal persons to trade goods and receive and pay cash?","85.Under the European Union's Fourth Anti-Money Laundering Directive, what cash transaction threshold applies to natural or legal persons trading in goods?"
