英文文件,英文题号,英文题干,状态,中文来源文件,中文来源题号,中文来源题干,备注
英文版第三章.docx,11,"11.In the follow-up process of the fourth round of Mutual Evaluations of the FATF, what happens when a country is placed on enhanced follow-up?",已一致,第三章.docx,8,8.在金融行动特别工作组第四轮相互评估的后续进程中，如果一个国家被评估为需强化后续行动，会发生什么?,解析内容已与中文版一致
英文版第三章.docx,12,"12.When the FATF conducts a mutual assessment of a country, it should prove the effectiveness of the FATF's 40 recommendations?",已一致,第三章.docx,10,10.在金融行动特别工作组对一个国家进行相互评估时，应证明金融行动特别工作组40条建议的有效性?,解析内容已与中文版一致
英文版第三章.docx,13,13.Which is a FATF characteristic used to assess a country's effectiveness of its AML regime?,已一致,第三章.docx,9,9.金融行动工作组用于评估一国反洗钱制度有效性的特征是什么?,解析内容已与中文版一致
英文版第三章.docx,14,14.One of the main purposes of FATF-Style Regional Bodies is,已一致,第三章.docx,11,11.金融行动特别工作组式的区域机构的主要目的之一是:,解析内容已与中文版一致
英文版第三章.docx,15,"15.According to the 40 recommendations of the Financial Action Organization for the Prevention and Control of Money Laundering, the designation of non-financial undertakings and professionals includes:",已一致,第五章.docx,96,"96.根据防制洗钱金融行动工作组织40项建议，""指定非金融事业与专业人士""包括:",解析内容已与中文版一致
英文版第三章.docx,16,16.Which of the following is correct about the requirements for countries in the 40 recommendations of the Financial Action Task Force on the Prevention of Money Laundering:,已一致,第三章.docx,131,131.关于防制洗钱金融行动工作组织40项建议对各国的要求，下列哪一项是正确的:,解析内容已与中文版一致
英文版第三章.docx,17,17.When should financial institutions submit suspicious transaction reports?,已一致,第三章.docx,132,132.金融机构应在何时提交可疑交易报告?,解析内容已与中文版一致
英文版第三章.docx,18,18.What is the first step that an investigator should take when beginning a financial investigation into a potential suspicious activity?,已一致,第三章.docx,133,133.当调查人员开始对潜在的可疑活动进行金融调查时，应该采取的第一步是什么?,解析内容已与中文版一致
英文版第三章.docx,19,"19.(多选题)An international bank is headquartered in Madrid, Spain, with an office in New York City （NYC），US. The Madrid office is investigating a transaction originating from a customer of the NYC office and inquires whether the NYC office can share any relevant further information on the individual. Upon further research, the NYC office finds that they have filed a Suspicious Activity Report（SAR） on the individual in the previous year Which factors need to be considered before sharing the requested information? （Choose Two.）",已一致,第五章.docx,107,107.(多选题)一家国际银行的总部位于西班牙马德里，并在美国纽约市（NYC）设有办事处。马德里总部正在调查一起交易，该交易来自纽约办事处的一位客户，并询问纽约办事处是否可以提供该客户的相关信息。在进一步调查后，纽约办事处发现他们在上一年度已经对该客户提交了一份可疑活动报告（SAR）。在共享请求信息之前，应考虑哪些因素?（请选择两个）,解析内容已与中文版一致
英文版第三章.docx,20,20.Which of the following statements is true regarding the 2012Financial Action Task Force（FATF）40 Recommendations and/or11Immediate Outcomes?,已一致,第五章.docx,94,94.以下哪项关于2012年金融行动特别工作组（FATF）的40项建议和/或11项直接成果的陈述是正确的?,解析内容已与中文版一致
英文版第三章.docx,21,21.Which of the following is the best action to take regarding a particular account once suspicious activity is reported by the institution?,已一致,第三章.docx,134,134.一旦机构报告可疑活动，以下哪项是针对特定账户采取的最佳行动?,解析内容已与中文版一致
英文版第三章.docx,22,22.What does the Financial Action Task Force 40 Recommendations add reason transparency of beneficial ownership?,已一致,第三章.docx,140,140.金融行动特别工作组（FATF）的40条建议在实际所有权的透明度方面涉及哪些内容?,解析内容已与中文版一致
英文版第三章.docx,23,23.According to Basel Committee guide lines， which level of the organization should determinewhether or not to enter business relationships with higher risk customers?,已一致,第三章.docx,135,135.根据巴塞尔委员会的指导方针，组织的哪个级别应该决定是否与风险较高的客户建立业务关系?,解析内容已与中文版一致
英文版第三章.docx,24,24.(多选题)Which three circumstances are indicators for defining a customer as required additional diligence according to the Wolfsberg Principles on Private Banking? （Choose Three）,已一致,第三章.docx,136,136.(多选题)《沃尔夫斯堡私人银行业务原则》列出了需要额外尽职调查的情况，包括涉及以下哪三种选择的活动?（选择三个）,解析内容已与中文版一致
英文版第三章.docx,25,25.An alert has been triggered by a monitoring system and an investigation has been opened. The activity involves significant and multiple cash deposits into a personal account and transferring funds to an offshore bank on the same day. Further investigation reveals thispersonal account had experienced low levels of activity for the past 6 months and funds are transferred to the account of a charitable organization. Which of the following is the next step that the Compliance Officer should take?,已一致,第三章.docx,137,137.针对监控系统发出预警的调查已经展开。交易为大量的现金被存入到一个人账户，并在同一天将资金转移到离岸银行，进一步调查发现该个人账户中过去6个月交易量较少，资金被转移到一个慈善组织的账户，合规官下一步应该做什么?,解析内容已与中文版一致
英文版第三章.docx,26,26.An anti-money laundering specialist has been hired by an independently-owned community bank to implement an anti-money laundering compliance program. This bank has recently seen a dramatic increase in the number of international electronic fund transfers from its commercial clients. The first thing the anti-money laundering specialist should do is?,已一致,第三章.docx,138,138.一家独立拥有的社区银行聘请了一名反洗钱专家，以实施反洗钱合规计划。该银行最近看到其企业客户的国际电子资金转账数量急剧增加。反洗钱专家应该做的第一件事是什么?,解析内容已与中文版一致
英文版第三章.docx,27,27.When an existing customer becomes a politically exposed person （PEP），what should the KYC analyst do during the review/refresh period?,已一致,第三章.docx,139,139.当现有客户成为政治公众人物（PEP）时，KYC分析师在审查/更新期间应该做什么?,解析内容已与中文版一致
英文版第三章.docx,28,"28.When a financial institution (FI) is requested to provide data and information to a law enforcement agency for matters related to financing of terrorism, assistance:",已一致,第三章.docx,12,12.当金融机构被要求向执法机构提供与资助恐怖主义有关的数据和信息时，协助:,解析内容已与中文版一致
英文版第三章.docx,29,"29.(多选题)When implementing a risk-based approach related to casinos, which risks are related to the customer as an individual? (Choose two.)",已一致,第三章.docx,13,13.(多选题)在实施与赌场相关的风险为本的方法时，哪些风险与个人客户有关?（选择两个）,解析内容已与中文版一致
英文版第三章.docx,30,30.Which is a key aspect in the FATF Recommendations that best describes the essential foundation for allocating resources in AML/CFT regimes for countries and financial institutions (FIs)?,已一致,第三章.docx,14,14.金融行动工作组建议中的哪一个关键方面最能描述为国家和金融机构在反洗钱/反恐融资制度中分配资源的基础?,解析内容已与中文版一致
英文版第三章.docx,31,31.Which should authorities do to safeguard AML information exchanged with other countries?,已一致,第三章.docx,15,15.当局应采取哪些措施保护与其他国家交换的反洗钱信息?,解析内容已与中文版一致
英文版第三章.docx,32,32.Who bears the ultimate responsibility for approving a FI's relationship with a politically exposed person (PEP)?,已一致,第三章.docx,16,16.谁对批准FI与政治公众人物（PEP）的关系承担最终责任?,解析内容已与中文版一致
英文版第三章.docx,33,"33.According to the Financial Action Task Force, which action must a financial institution take to fulfill customer due diligence obligations?",已一致,第三章.docx,17,17.根据金融行动特别工作组，金融机构必须采取哪些行动来履行客户尽职调查义务?,解析内容已与中文版一致
英文版第三章.docx,34,34.Which is the characteristic of the 40 Recommendations of the Financial Action Task Force (FATF)?,已一致,第三章.docx,18,18.哪个是金融行动特别工作组（FATF）40条建议的特点?,解析内容已与中文版一致
英文版第三章.docx,35,"35.According to the principle of Wolfsburg correspondent bank, what kind of action is considered as the enhanced due diligence (EDD) obligation for the risky correspondent bank customers?",已一致,第三章.docx,19,19.根据沃尔夫斯堡代理银行原则，哪种行动被认为是对风险较大的代理银行客户的强化尽职调查（EDD）义务?,解析内容已与中文版一致
英文版第三章.docx,36,36.Which statement identifies one of the duties of a government Financial Intelligence Unit?,已一致,第三章.docx,20,20.哪个声明确认为政府金融情报机构的职责之一?,解析内容已与中文版一致
英文版第三章.docx,37,37.Which action should countries take related to the financing of terrorist acts in accordance with the Financial Action Task Force 40 Recommendations?,已一致,第三章.docx,21,21.根据FATF40项建议，下列哪项行动是国家应对恐怖融资行为需要采取的行动?,解析内容已与中文版一致
英文版第三章.docx,38,"38.Historically, a tour guide has made monthly cash deposits averaging $$10,000. Over the past three months, the monthly deposits have averaged $$100,000. When the financial institution questions the increased deposits, the tour guide explains that there have been numerous conventions in town so business has increased substantially.Which further action(s) should the financial institution take?",已一致,第三章.docx,22,22.有一个导游每个月都去银行存现金。他一般情况下每个月平均存1万美金。近三个月里，他每个月平均存进10万美金。当银行询问他为什么存款额度提升得那么明显的时候，他解释说因为最近这里的会议活动特别多，所以业务增长得非常迅速。银行接下来需要采取什么样的行动呢?,解析内容已与中文版一致
英文版第三章.docx,39,39.Which of the following is the most Likely reason for the Financial Action Task Force to remove a jurisdiction from the Non-Cooperative Countries and Territories list?,已一致,第三章.docx,141,141.以下哪项是金融行动特别工作组从非合作国家和地区名单中删除管辖权最有可能的原因?,解析内容已与中文版一致
英文版第三章.docx,40,40.When deficiencies are identified in the Financial Action Task Force （FATF） mutual evaluation report， the assessed country needs to:,已一致,第三章.docx,142,142.当金融行动特别工作组（FATF）相互评估中发现缺陷时报告，被评估国家需要:,解析内容已与中文版一致
英文版第三章.docx,41,"41.When the Financial Action Task Force （FATF）places a jurisdiction on the list of jurisdictions under increased monitoring""，also known as the ""grey list"", the jurisdiction:",已一致,第三章.docx,143,"143.当金融行动特别工作组（FATF）将某个司法管辖区列入""加强监测的司法管辖区名单""（即""灰名单""）时，该司法管辖区:",解析内容已与中文版一致
英文版第三章.docx,42,"42.The Financial Action Task Force （FATF）routinely publishes a catalog of jurisdictions requiring enhanced monitoring, which is commonly called the:[1分]",已一致,第三章.docx,144,144.金融行动特别工作组（FATF）定期公布需要加强监管的司法管辖区名单，这通常被称为:,解析内容已与中文版一致
英文版第三章.docx,43,43.Which action does the FATF call on member countries to take in the most serious cases when countries have significant strategic AML deficiencies?,已一致,第三章.docx,145,145.当成员国在反洗钱方面存在重大战略缺陷时，FATF呼吁成员国采取何种严厉措施?,解析内容已与中文版一致
英文版第三章.docx,44,"44.(多选题)After a FATF mutual evaluation process, which are resulting actions for jurisdictions that are determined to have strategic deficiencies in their regimes to counter money laundering, terrorist financing, and proliferation financing? (Choose two.)",已一致,第三章.docx,23,23.(多选题)在金融行动特别工作组相互评估过程之后，确定其打击洗钱、恐怖主义融资和扩散融资制度存在战略缺陷的司法管辖区将采取哪些行动?（选择两个）,解析内容已与中文版一致
英文版第三章.docx,45,45.(多选题)In what two ways do regional organizations like the Financial Action Task Force influence the standards of anti-money laundering and terrorist financing in their regions? (Choose two answers),已一致,第三章.docx,24,24.(多选题)类似金融行动任务小组的地区组织是通过哪两个方式在其地区影响反洗钱和资助恐怖活动标准的?(选两个答案),解析内容已与中文版一致
英文版第三章.docx,46,46.How does the Financial Action Task Force (FATF) communicate its findings regarding jurisdictions with strategic anti-money laundering / Counter Financing of Terrorism deficiencies?,已一致,第三章.docx,25,25.金融行动特别工作组（FATF）如何传达其关于具有战略反洗钱/反恐怖主义融资缺陷的司法管辖区的调查结果?,解析内容已与中文版一致
英文版第三章.docx,47,47.Why do you want to integrate the prevention of money laundering/combating the financing of terrorism and understanding your customer structure into organizations including branches and subsidiaries?,已一致,第三章.docx,114,114.为何要将防制洗钱/打击资助恐怖主义活动与瞭解您的客户架构融入包括分行、子公司在内之组织?,解析内容已与中文版一致
英文版第三章.docx,48,48.What must the compliance commissioner do to avoid taking personal responsibility for mistakes in preventing money laundering/combating terrorist financing?,已一致,第三章.docx,115,115.法令遵循专员必须怎么做，以避免因为防制洗钱/打击资助恐怖主义活动之失误而承担个人责任?,解析内容已与中文版一致
英文版第三章.docx,49,49.What kind of drills should the organization conduct to confirm the necessary level of customer supervision?,已一致,第三章.docx,116,116.组织应进行何种演练，确认客户监督之必要等级?,解析内容已与中文版一致
英文版第三章.docx,50,50.Which line of defense is solely tasked with providing assurance to the Board of Directors of an organization?,已一致,第三章.docx,117,117.哪一条防线的唯一任务是向公司董事会提供保证?,解析内容已与中文版一致
英文版第三章.docx,51,"51.As emphasized in the Basel Committee guidance for Sound Management of Risks Related to Money Laundering and Financing of Terrorism"". the third line of defense（audit function） should:",已一致,第三章.docx,118,"118.根据巴塞尔委员会（Basel Committee）关于""反洗钱（AML）和打击恐怖融资（CFT）风险的稳健管理指南的要求，第三道防线（审计职能）应该:",解析内容已与中文版一致
英文版第三章.docx,52,"52.(多选题)The Basel Committee on Banking Supervision published guidelines on the ""Sound Management of Risks Related to Money Laundering and Financing of Terrorism."" With regard to identifying and accepting customers, it recommends that banks:（Choose Two.）",已一致,第三章.docx,119,119.(多选题)巴塞尔银行监管委员会发布了《与洗钱和恐怖融资相关风险的健全管理指南》。在客户识别和接受方面，该指南建议银行采取哪些措施?（请选择两个选项）,解析内容已与中文版一致
英文版第三章.docx,53,53.(多选题)Which practices should financial institutions（FI's）adopt for the process of terminating customer relationships?（Choose Three.）,已覆盖,第三章.docx,120,120.(多选题)金融机构（FIs）在终止客户关系的过程中应采取哪些做法?（请选择三个）,按题干、选项和答案确认对应后覆盖
英文版第三章.docx,54,54.Which of the following are key metrics that provide valuable data to senior management about the effectiveness of an Fls AML controls?,已一致,第三章.docx,121,121.以下哪些是为高级管理层提供有关金融机构（FI）反洗钱（AML）控制有效性的关键指标?,解析内容已与中文版一致
英文版第三章.docx,55,"55.In order to demonstrate commitment to AML compliance within a bank, the Board of Directors should:",已一致,第三章.docx,122,122.为了证明银行对反洗钱合规的承诺，董事会应:,解析内容已与中文版一致
英文版第三章.docx,56,"56.(多选题)Banks in offshore jurisdictions approach institutions to establish new correspondent banking relationships. Before opening an account, the representative of the new account obtains a copy of the anti-money laundering policies and procedures of the offshore bank, as well as all appropriate legal documents of the bank; Determine that no third party can access the account; And determine the owner of the bank, the main business activities of the bank and the business address of the bank. The due diligence document of the Basel Committee on Banking Supervision suggests that banks should take the following two steps before opening correspondent accounts？",已一致,第三章.docx,123,123.(多选题)离岸司法管辖区内的银行就建立新的代理银行关系与机构接洽。开户前，新账户代表获得离岸银行反洗钱政策和程序的副本，以及银行的所有适当法律文件;确定没有第三方能够访问该账户;并确定银行的所有者、银行的主要业务活动以及银行的营业地址。巴塞尔银行监管委员会的《银行客户尽职调查》文件建议银行在开立代理账户之前采取以下哪两个步骤?（选择两个）,解析内容已与中文版一致
英文版第三章.docx,57,57.The Basel Committee on Banking Supervision issued a paper in October2001 in which it presented a Know Your Customer framework and recommended standards applicable to?,已一致,第三章.docx,124,"124.巴塞尔银行监管委员会于2001年10月发布了一份文件，其中提出""了解你的客户""框架以及银行监管的建议标准适用于以下哪一项?",解析内容已与中文版一致
英文版第三章.docx,58,58.The Board of Directors for a small private bank has asked the management to no longer apply the identity requirements for high net worth individuals to protect their privacy. Which of the following Financial Action Task =once 40 Recommendations should cause an anti-money laundering specialist the most concern?,已一致,第三章.docx,125,125.一家小型私人银行的董事会已要求管理层不再对高净值个人实施身份要求，以保护其隐私。以下金融行动特别工作组40项建议中，哪一项应引起反洗钱专家的最大关注?,解析内容已与中文版一致
英文版第三章.docx,59,59.According to the guidelines of the Basel Committee on Banking Supervision， which of the following statements best describes the relationship between the internal audit function and compliance?,已一致,第三章.docx,127,127.根据巴塞尔银行监管委员会的指导方针，下列哪个陈述最好地描述了内部审计职能与合规之间的关系?,解析内容已与中文版一致
英文版第三章.docx,60,60.With which of the following should an anti-money laundering officer coordinate when implementing anew hire screening program?,已一致,第三章.docx,26,26.在实施新员工筛查计划时，反洗钱官员应与以下哪一方协调?,解析内容已与中文版一致
英文版第三章.docx,61,61.A high volume of incoming wire transfers generates an alert about a client. The funds are immediately debited by cash withdrawals and outgoing wire transfers.Which information should be reviewed first to investigate this alert/case?,已覆盖,第三章.docx,27,27.转入的大量电汇会生成有关客户端的警报。资金立即通过现金提取并且记入电汇的借方账户。应首先审查哪些信息以调查此警报/案例?,按题干、选项和答案确认对应后覆盖
英文版第三章.docx,62,62.What are four key elements that a KYC program should contain according to the Basel Committee requirements?,已一致,第三章.docx,28,28.根据巴塞尔委员会的要求，KYC计划应包含的四个关键要素是什么?,解析内容已与中文版一致
英文版第三章.docx,63,"63.When performing an investigation, which key steps should be taken to maintain and secure supporting documentation used to perform an investigation of a suspicious activity?",已一致,第三章.docx,30,30.进行调查时，应采取哪些关键步骤来维护和保护用于调查可疑活动的支持文件?,解析内容已与中文版一致
英文版第三章.docx,64,64.(多选题)Which are essential elements of a KYC program identified by the Basel Committee on Banking Supervision? (Choose two.),已一致,第三章.docx,31,"31.(多选题)哪些是巴塞尔银行监管委员会确定的""了解你""计划的基本要素?(选择两个。)",解析内容已与中文版一致
英文版第三章.docx,65,"65.The Basel Committee on Banking Supervision pointed out in its document ""Customer Due Diligence for Banks"" that inappropriate ""know your customer"" programs can pose risks to banking institutions?",已一致,第三章.docx,32,"32.巴塞尔银行监管委员会在其文件《银行的客户尽职调查》中指出，不适当的""了解客户""计划会给银行机构带来哪些风险?",解析内容已与中文版一致
英文版第三章.docx,66,66.What does the Basel Committee's Customer Due Diligence for Banks paper suggest that a bank needs to have in place when establishing an account for a corporate business entity?,已一致,第三章.docx,33,33.由巴塞尔委员会发布的《银行客户尽职调查》白皮书中，建议银行在为一个公司实体开办账户的时候应做到:,解析内容已与中文版一致
英文版第三章.docx,67,67.(Correspondent Banking)Which measure to mitigate risk does the Basel Committee's Customer Due Diligence Principles suggest banks apply when accepting business from non-face-to- face customers?,已一致,第三章.docx,34,34.当从非面对面客户那里接受业务时，巴塞尔会员会的客户尽职调查原则建议采取哪个方式降低风险?,解析内容已与中文版一致
英文版第三章.docx,68,68.Which activity associated with new or developing technologies does the FATF recommend FIs pay special attention to?,已一致,第三章.docx,35,35.金融行动特别工作组建议金融机构特别注意与新技术或发展中技术有关的哪种活动?,解析内容已与中文版一致
英文版第三章.docx,69,69.What is the appropriate compliance control for identifying politically exposed persons (PEPs) according to the Basel Committee's paper on Customer Due Diligence for Banks?,已一致,第三章.docx,36,36.根据巴塞尔委员会发布的<<银行客户尽职调查白皮书>>在识别PEP方面应争取怎样的控制措施以确保合规?,解析内容已与中文版一致
英文版第三章.docx,70,"70.(多选题)According to the Basel Committee on Banking Supervision standards, which statements best describe sound practices in relation to customer due diligence (CDD) policies and procedures? (Choose three.)",已一致,第三章.docx,39,39.(多选题)根据巴塞尔银行监管标准委员会，哪些陈述最能描述与客户尽职调查（CDD）政策和程序相关的良好做法?（选择三个）,解析内容已与中文版一致
英文版第三章.docx,71,71.Which key factor would result in the decision for a financial institution (FI) to exit a client relationship?,已一致,第三章.docx,42,42.哪个关键因素会导致金融机构（FI）决定终止客户关系?,解析内容已与中文版一致
英文版第三章.docx,72,72.(多选题)The compliance officer for a private bank has been tasked with reviewing the procedure for authorized signatories on customer accounts to ensure it is in line with relevant Wolfsberg Anti-Money Laundering Principles for Private Banking. Which three statements from the procedure are in line with Wolfsberg? (Choose three.),已一致,第三章.docx,40,40.(多选题)私人银行的合规专员接受了一项任务，审核客户账户授权签字人的流程，确保符合沃尔夫斯堡私人银行反洗钱原则，以下那三个陈述符合Wolfberg?(选择三个答案),解析内容已与中文版一致
英文版第三章.docx,73,73.A politically exposed person (PEP) maintains an account at a bank. Last month a money laundering analyst filed a suspicious transaction report about unusual wire deposits originated by unknown individuals in the home country of the official. Recently a negative news search revealed political corruption in the home country of the official.To whom should this situation be escalated?,已一致,第三章.docx,37,37.一名政治公众人物开立一个银行账户。上个月反洗钱调查员提交了关于政治公众人物国家关于未知个人的电汇交易可疑交易报告。最近这名官员所在国家披露了腐败的负面消息。这种情况下，你该向谁报告?,解析内容已与中文版一致
英文版第三章.docx,74,74.(多选题)A bank operates in multiple countries and offers a variety of products and services. The compliance officer recently joined the bank and wants to better understand the inherent level of anti-money laundering risk across the entire organization.Which two factors should be considered? (Choose two.),已一致,第三章.docx,38,38.(多选题)一家银行在多个国家开展业务，提供多种产品和服务。最近加入银行的合规官希望更好地了解整个组织反洗钱的固有风险。合规官应该考虑哪两个因素?（选择两个。）,解析内容已与中文版一致
英文版第三章.docx,75,"75.A bank is preparing for its anti-money laundering independent review, which is performed every two years under the direction of the compliance officer. The bank's corporate audit department will conduct the review. The compliance officer will review the final report before it is released to the Board of Directors.What is the issue with this situation?",已一致,第三章.docx,41,41.银行进行每两年一次的独立反洗钱审查，合规专员带领，银行审计部门审核，合规专员审查后提交给董事会，这波操作有以下哪个问题:,解析内容已与中文版一致
英文版第三章.docx,76,"76.(多选题)According to Wolfsburg's Anti-Money Laundering Guidelines for Private Banks, which two types of customers can be ordinary interest owners? (Select two)",已一致,第三章.docx,43,43.(多选题)根据沃尔夫斯堡的《私人银行反洗钱指引》哪两类客户可作为普通的利益拥有者?（选择两个）,解析内容已与中文版一致
英文版第三章.docx,77,77.(多选题)Who meets the standard to perform for the AML audit? (Choose two.),已一致,第三章.docx,44,44.(多选题)谁符合反洗钱审计的执行标准?(选择两个),解析内容已与中文版一致
英文版第三章.docx,78,78.(多选题)According to the Financial Action Task Force 40 Recommendations，simplified customer due diligence or reduced measures could be acceptable for which of the following types of products or transactions?（Choose three）,已一致,第三章.docx,186,186.(多选题)根据金融行动特别工作组40项建议，对以下哪三类产品或交易可以采用简化的客户尽职调查措施或缩减的措施？（选择三个）,解析内容已与中文版一致
英文版第三章.docx,79,79.Which is a key aspect of the first EU Directive on Money Laundering?,已一致,第三章.docx,45,45.欧盟关于洗钱的第一个指令的关键方面是什么?,解析内容已与中文版一致
英文版第三章.docx,80,80.(多选题)Which two statements are true regarding the European Union Money Laundering Directives? (Choose two.),已一致,第三章.docx,46,46.(多选题)下列哪两项关于欧盟洗钱指令的陈述是真的?(选两个答案),解析内容已与中文版一致
英文版第三章.docx,81,81.(多选题)Which three definitions of money laundering are included in the expanded definition of the European Union Second Directive? (Choose three.),已一致,第三章.docx,47,47.(多选题)下列哪三个洗钱定义包括在欧盟第二指令扩大定义中?选三个答案（选洗钱的三个明知的概念）,解析内容已与中文版一致
英文版第三章.docx,82,82.In relationship to life insurance business， the third European Directive states that Member States may allow the identity verification of the beneficiary under the policy after the business relationship has been established， but before which events?,已一致,第三章.docx,146,146.在人寿保险业务方面，欧盟第3号指令规定，成员国可以允许在建立业务关系后对保单受益人进行身份验证，但需要在哪些事件之前?,解析内容已与中文版一致
英文版第三章.docx,83,83.(多选题)Which three entities does the Third European Union Money Laundering Directive apply to? （Choose three）,已一致,第三章.docx,147,147.(多选题)欧盟第3号反洗钱指令适用于以下哪三类实体?（选择三个）,解析内容已与中文版一致
英文版第三章.docx,84,"84.After receiving a suspicious activity report about a customer's account, the relevant law enforcement agencies requested permission to interview bank staff who are familiar with basic transactions. What measures should the compliance officer take?",已一致,第三章.docx,185,185.在收到关于客户账户的可疑活动报告后，相关执法机构要求允许采访熟悉基本交易的银行员工。合规官应采取哪些措施？,解析内容已与中文版一致
英文版第三章.docx,85,"85.(多选题)In the fourth directive of the European Union, what is the threshold for including natural persons or legal persons to trade goods and receive and pay cash?",已一致,第三章.docx,148,148.在欧盟第四指令中，纳入自然人或法人货品交易与收付现金款项之门槛降至多少?,解析内容已与中文版一致
英文版第三章.docx,86,86.A school teacher recently opened a private banking account with a major bank. The customer indicated annual income of EUR 45，000 and listed her source of wealth as a EUR 1.5 million in heritance from relatives. The customer plans to invest EUR 12，000to 15，000 earned annually from bearer bonds. The relationship manager verified the client＇s identity anddocumented all of the above information in the account file before open in a the account. During a routine review of the account，several electronic fund transfers in excess of EUR 5 million each were made from a diamond distributor. The relationship manager also noticed that in each instance， the customer immediately transferred the funds to bank accounts in Hong Kong. Which of the following is appropriate for the anti-money laundering specialist torecommend?,已一致,第三章.docx,150,150.一位学校老师最近在一家大银行开立了一个私人银行账户。客户表示年收入为45000欧元，并将其财富来源列为150万欧元的亲属遗产。客户计划投资每年从无记名债券中赚取的12000至15000欧元。客户经理核实了客户的身份，并在开户前将上述所有信息记录在账户文件中。在对账户的例行审查中，一家钻石经销商进行了几笔电子资金转账，每笔金额超过500万欧元。客户经理还注意到，在每一个交易中，客户都会立即将资金转入香港的银行账户。以下哪项适合反洗钱专家采取的措施?,解析内容已与中文版一致
英文版第三章.docx,87,87.(多选题)Which risk factors are considered when assessing risk rating of customers? （Choose three.,已一致,第三章.docx,151,151.(多选题)在评估客户的风险评级时，考虑了哪些风险因素?（选择三个）,解析内容已与中文版一致
英文版第三章.docx,88,88.(多选题)Release of the EU's Fourth AML Directive resulted in what change to member state's procedures? (Choose two.),已一致,第三章.docx,48,48.(多选题)欧盟第四个反洗钱指令的发布导致成员国的程序发生了什么变化?(选择两个),解析内容已与中文版一致
英文版第三章.docx,89,89.What is the currency threshold under the European Union Fourth Anti-Money Laundering Directive?,已一致,第三章.docx,49,49.依据欧盟第四反洗钱指令，哪项是现金门槛?,解析内容已与中文版一致
