current_question_number,mapping_source_file,mapping_source_number,mapping_confidence,mapping_status,option_mapping,mapping_reason,proposed_question,proposed_A,proposed_B,proposed_C,proposed_D,proposed_E,proposed_F,current_answer,chinese_answer,proposed_answer,change_type,answer_analysis_risk,agent_notes
11,第五章.docx,7,中,待人工确认,A→A;B→B;C→C;D→D;E→E,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,The law enforcement agency (LEA) of a foreign jurisdiction contacts a financial institution (FI) regarding one of the FI's clients. The LEA advises that the client is currently wanted for prosecution as a result of a series of human trafficking charges.What should the FI do? (Choose 2.),Comply immediately with the foreign jurisdiction and turn over all client information.,Inform local LEA and regulator of the request for awareness.,"Review the client's activity,determine if suspicious activity exists,and report accordingly.",Advise the LEA that the government needs to be contacted for extradition.,Close the client's accounts immediately to avoid any undue risk.,,BC,BC,BC,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
12,第五章.docx,8,中,待人工确认,A→A;B→B;C→C;D→D;E→E,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,What measures should financial institutions take to identify and investigate customers' money laundering activities? (Choose 2.),Whistleblower hotline,Code of conduct,Transaction monitoring,Negative message screening,Integrity policy,,CD,CD,CD,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
13,第五章.docx,9,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,"A bank received a subpoena for a customer who had been under surveillance for several months. The bank wants to close the account to reduce any additional risks. However,the government requires the account to remain open. What documents must be provided to the bank to keep the account open?",Authorization of the board of directors,Written request with appropriate letterhead and government authorization,E-mail agreement between government and financial institutions to keep accounts open,Order to keep accounts open but freeze funds,,,B,B,B,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
14,第五章.docx,10,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,Which action should a financial institution take when it receives a grand-jury subpoena regarding a customer?,Make copies of the customer's documents and submit the originals to the enforcement agency.,Notify the customer being investigated before submitting documents.,Keep the customer's accounts open at the enforcement agency's verbal request.,Have the institution's assigned legal counsel review the subpoena.,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
15,第五章.docx,11,中,待人工确认,A→A;B→B;C→C;D→D;E→E,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,What factors can trigger the review of existing relationships during the opening of new accounts? (Choose 2.),Remittance income from high-risk jurisdictions,False positive results of name screening,Regularly check the flow of funds,Decrease in estimated total income,Recent negative media about customers,,AE,AE,AE,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
16,第五章.docx,12,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,How should a financial institution respond to a verbal request from a law enforcement agency to keep an account open to assist in an investigation?,Agree to keep the account open,Request a subpoena to maintain the account,Request a letter on the agency's letterhead,Request a search warrant from the local court,,,C,C,C,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
17,第五章.docx,13,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,"During a law enforcement investigative interview regarding potential money laundering,the suspect starts making assertions and statements that the investigator believes are false. How should the investigator respond?",Inform the suspect that deception is obvious and continue the interview,Advise the suspect that the interview will be terminated if there is suspicion of deception,Direct the interview in another direction until there is better rapport before returning back to the troubling questions,Ask questions of a material nature about the suspected false statements without revealing the suspected deception,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
18,第五章.docx,15,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,A financial institution receives a legal request to freeze the assets of its customers. What action should be taken?,Freeze customers' assets immediately,Waiting for approval from the legal department,Processing the latest transaction records before freezing bank accounts,Inform customers,,,A,A,A,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
19,第五章.docx,16,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,Which approach ensures the successful implementation of a transaction monitoring system?,Ensuring all checks of a transaction monitoring system's rules and parameters use actual live data after the system is operational,"Implementing third-party transaction monitoring software,taking great care not to adjust pre-programmed rules and alerting thresholds",Taking great care to minimize changes to transaction monitoring system rules and parameters once these have been certified as accurate,Performing systems integration testing at key steps of development and user acceptance testing prior to going live with the transaction monitoring system,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
20,第五章.docx,17,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,"An organization's automated surveillance system identifies large fluctuations in customer activity. As a result of an audit,the compliance officer is informed that the system is not generating alerts when activity is consistently abnormal over a long period of time. Currently the organization is evaluating new alert scenarios in an attempt to address this problem.Which type of scenario is helpful in mitigating this weakness?",Peer,Income,Mapping,Below-the-line,,,A,A,A,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
21,第五章.docx,18,中,待人工确认,A→A;B→B;C→C;D→D;E→E,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,An AML specialist at a FI is presented with a searchwarrant. Which action should be taken to comply with thesearch? (Choose 2.),Remember what items the agents have seized and takenfrom the premise.,Leave the premises to allow the agents to conduct thesearch.,Obtain a copy of the warrant or photocopy the original warrant.,Record the names and affiliations of the agents whoconduct the search.,Proactively ask the agents as many questions as timeallows.,,CD,CD,CD,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
22,第五章.docx,20,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,Which is the main objective when a financial institution (FI) conducts an investigation?,Keep policies and procedures updated,Keep all the documentation,Know the customer,Track the movement of the money,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
23,第五章.docx,21,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,A compliance analyst is reviewing account activity of a customer that they suspect may be indicative of money laundering activity. Which is difficult to determine solely from the customer's account activity and KYC file?,If the account is mostly dormant or has little activity,"If the account has multiple transfers to the same,related businesses",If the activity is materially different from related businesses,If there is negative media associated with counterparties,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
24,第五章.docx,22,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,A United States (U.S.) bank was recently alerted by law enforcement of an increase in sale of large denomination U.S. bank notes to casas de cambio. They suspect that a Mexican syndicate is operating a money laundering scheme in the bank's jurisdiction.Which two steps should be taken to trace funds through the bank to assist law enforcement in their investigation? (Choose 2.),Identify the money laundering scheme and submit a suspicious transaction report,Identify if there is a decrease in the sale of large denomination U.S. bank notes to casas de cambio by the bank,Identify deposits by casas de cambio that include third- party items including sequentially numbered monetary instruments,Identify multiple wire transfers initiated by casas de cambio to jurisdictions outside of Mexico that bear no apparent business relationship with that casa de cambio,,,CD,CD,CD,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
25,第五章.docx,81,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,Which of the following is open source intelligence (OSINT)?,Online search engine search,Understand your client file review,Use the vendor-owned database,Review customer transactions,,,A,A,A,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
26,第五章.docx,24,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,"In reviewing recent activity,a compliance officer for a money transmitter that several customers are each remitting the same amount of money but much more frequently.How should the institution respond?",File a suspicious transaction report,Instruct the tellers not to process remittances for these customers in the future,Conduct further investigation to determine whether this is truly suspicious activity,Immediately contact the customers and ask them why they are remitting money more often,,,C,C,C,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
27,第五章.docx,87,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,"Once a financial institution has reported suspicious transactions on a valued customer,it should cooperate with competent authorities by?",Maintaining adequate written documentation of all individuals and transactions reported.,Hinting to the customer that she should come in and explain her behavior.,Submitting information upon receiving a legal request from parties involved in a civil law suit.,Providing the supporting documentation to competent authorities upon request.,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
28,第五章.docx,23,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,Which should be provided to the board of directors or designated specialized committee when reporting SARs/STRs?,All possible details of SARs/STRs filed during the reported period.,Statistical data regarding SARs/STRs filed during the reported period.,Names of all customers subject to SARs/STRs filed during the reported period.,Copies of all SARs/STRs filed during the reported period.,,,B,B,B,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
29,第五章.docx,25,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,A bank teller receives a written request from a police officer to review a previous customer's account on a pre- populated form with the officer's official letter head.The officer suspects the previous customer is engaging in smurfing. Which action should the bank teller perform?,Provide the police officer the customer's account information.,Reject the police officer's request for the customer's account information and escalate to the compliance officer.,Provide the police officer the customer's account information after management approval.,Escalate the police officer's request for the customer's account information to the compliance officer.,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
30,第五章.docx,26,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,"A local law enforcement officer,who is conducting a criminal investigation,requests information about a customer. Which two actions should the bank take? (Choose 2.)",Close the account immediately,File a suspicious transaction report,Monitor the account for suspicious activity,Review the money laundering risk posed by the account,,,CD,CD,CD,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
31,第五章.docx,27,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,An employee hears a colleague on the telephone with a customer giving advice on how to ensure that a suspicious transaction report will not be filed as a result of a future transaction. What action should the employee take?,Report the conversation to the local police,Report the conversation to the compliance officer,Tell the colleague that it is against policy to give such advice,Ignore the situation because the colleague is the relationship manager for that customer,,,B,B,B,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
32,第五章.docx,28,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,"An immigrant residing in the United States opens a bank account that includes a debit card. Several months later,the transactional monitoring system identifies small deposits into the account followed by corresponding ATM withdrawals from a country bordering a conflict zone.How should the bank respond?",Block any further activity,File a suspicious transaction report,Initiate an investigation into the activity,Contact the customer if the transaction activity continues,,,C,C,C,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
33,第五章.docx,29,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,"During a routine anti-money laundering investigation,it was found that some large wire transfers were deposited in a local garage. These wire transfers come from tax haven countries that lack anti-money laundering supervision. Investigators believe that these wire transfers have no legitimate business purpose and submit suspicious transaction reports. The owner of this repair shop is very popular in the community and is keen on charity. Who should the investigator report these situations to?",Board of Auditors,Board of Directors,Garage owner,The bank's anti-money laundering commissioner,,,D,D,D,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
34,第五章.docx,30,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,"What are two requirements with respect to supporting documentation that is used to identify potentially suspicious activity,according to Financial Action Task Force? (Choose 2.)",It must be retained for at least five years,It must be retained for at least seven years,It must be kept in a manner so that it can be provided promptly,It must only be released to the government through a subpoena process,,,AC,AC,AC,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
35,第五章.docx,31,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,"A bank compliance officer discovers cash deposit activity inconsistent with the expected and historical cash activity within the personal accounts of the chairman of the board. The cash activity appears structured to avoid the local legal filing requirements for large cash transactions,and a suspicious transaction report (STR) was filed.How should the compliance officer report the filing of the STR to the board of directors without revealing the existence of the filing to the subject?",Inform the legal counsel of the bank,Follow the financial institution's established STR reporting policy,Notify the financial institution's regulator to disclose the activity,The compliance officer and the chief executive officer should jointly interview the chairman,,,B,B,B,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
36,第五章.docx,86,中,待人工确认,A→A;B→B;C→C;D→D,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,What should a financial institution (FI)do in response to a formal law enforcement request to produce documents?,Verify the officer's identification and ask for the law enforcement request to be served when the Chief Executive Officer is available to sign for it.,Designate a person responsible for the internal investigation in preparation of documents for the request.,Ask for an extension to review the Fl's privacy policy and confidentiality policy before providing any information under the law enforcement request.,Keep senior management informed at all times to strategically organize a defense to terminate the law enforcement request.,,,B,B,B,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
37,第五章.docx,32,中,待人工确认,A→A;B→B;C→C;D→D;E→E,候选中文题与英文题干、选项数量及标签顺序一致；本底稿尚未完成逐项语义复核，保留为人工确认项。,When should a financial institution (FI) exit a relationship? (Choose 2.),The reputational risk to the FI posed by closing the account,The request from law enforcement to close the account,The FI's requirements for opening an account,The suspicious conduct of the account holder,The FI's stated policies and procedures for closing an account,,BE,BE,BE,英文标点、空格、大小写和术语清理；语义逐项复核待人工完成,中：第五章代理审核未完成；当前答案保留，需人工核对题干、选项语义及答案。,服务限流导致章节代理未能完成。本底稿仅基于现有候选中文题和原英文做保守语言清理，不重构语义；人工确认后方可用于后台。
