"current_question_number","mapping_source_file","mapping_source_number","mapping_confidence","mapping_status","option_mapping","mapping_reason","proposed_question","proposed_A","proposed_B","proposed_C","proposed_D","proposed_E","proposed_F","current_answer","chinese_answer","proposed_answer","change_type","answer_analysis_risk","agent_notes"
"11","第三章.docx","8","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","In the follow-up process of the fourth round of Mutual Evaluations of the FATF, what happens when a country is placed on enhanced follow-up?","If the country submits its implementation plan, it is freed from other enhanced measures that may be applied until the next evaluation by FATF.","The country is required to remain on enhanced follow- up status until the next FATF mutual evaluation.","The country undergoes a follow-up FATF assessment five years after the initial enhanced follow-up placement.","The country has to report back its implementation plan at the first FATF general meeting after the adoption of the evaluation report by FATF.","","","C","C","C","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"12","第三章.docx","10","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","When FATF conducts a mutual evaluation of a country, what must the country demonstrate regarding the effectiveness of its implementation of the FATF Recommendations?","Financial institutions in the assessed countries are aware of the risks of money laundering and terrorist financing.","The assessed country has implemented laws and regulations that meet the requirements for anti-money laundering/combating the financing of terrorism.","There is evidence that the stipulated results of the anti-money laundering/anti-terrorist financing system of the evaluated country have been achieved.","The assessed country has established a financial intelligence unit to manage suspicious activities.","","","C","C","C","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"13","第三章.docx","9","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which is a FATF characteristic used to assess a country's effectiveness of its AML regime?","Funds supporting and proceeding from crime or terrorism are prevented from entering the financial sector.","Legal persons are prevented from misuse for money laundering or terrorist financing.","Supervisors appropriately supervise, monitor, and regulate financial institutions (FIs).","FIs adequately apply preventive measures.","","","A","A","A","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"14","第三章.docx","11","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","What is one of the main purposes of FATF-Style Regional Bodies (FSRBs)?","Focus on global fraud typologies.","Help jurisdictions implement AML and terrorism financing standards.","Determine global watchlist standards and ensure that those lists are maintained cordingly.","Set up and maintain a global Politically Exposed Persons (PEPs) database.","","","B","B","B","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"15","第五章.docx","96","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Under the FATF Recommendations, which entities are included among designated non-financial businesses and professions (DNFBPs)?","Casinos, real estate brokers and jewelry dealers","Financial service enterprises, gatekeepers and electronic money issuers","Precious metal dealers, lawyers and commodity futures traders","Life insurance companies, real estate brokers and notaries","","","A","A","A","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"16","第三章.docx","131","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which statement correctly describes a requirement imposed on countries by the FATF Recommendations?","It is not allowed to issue bearer shares, and there must not be enough legal persons to issue bearer shares.","Collect reports on suspicious transactions; Prosecution and conviction; Statistics on property freezing, seizure and confiscation, and mutual legal assistance, but not necessarily according to the request of international cooperation.","For banks, other financial institutions and intermediaries, consider the feasibility of a currency transaction declaration system without a minimum.","Shell banks shall not be approved or allowed to continue to operate.","","","D","D","D","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"17","第三章.docx","132","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","When should financial institutions submit suspicious transaction reports?","When preparing to close the account","When abnormal or suspicious transactions are detected","Only when it is determined that a criminal act does exist.","Only when the board of directors approves the submission of suspicious transaction reports.","","","B","B","B","选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"18","第三章.docx","133","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","What is the first step that an investigator should take when beginning a financial investigation into a potential suspicious activity?","Contacting the country's financial intelligence unit (FIU) officers to seek advice on whether the potential suspicious activity is indeed suspicious.","Determining whether the potential suspicious activity is consistent with the customer's transactional behavior, nature of business, and occupation.","Gathering and assessing internal sources of information, including information obtained from the customer, transactions, and value and volume.","Identifying and reviewing external information, including online presence, customer-related entities, and relevant media.","","","C","C","C","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"19","第五章.docx","107","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","An international bank is headquartered in Madrid, Spain, with an office in New York City (NYC), U.S. The Madrid office is investigating a transaction originating from a customer of the NYC office and inquires whether the NYC office can share any relevant further information on the individual. Upon further research, the NYC office finds that they have filed a suspicious activity report(SAR) on the individual in the previous year Which factors need to be considered before sharing the requested information? (Choose two.)","The bank should consider jurisdictional privacy requirements and its own policies and procedures to determine what information to share.","The information should only be shared on a need-to-know basis.","The bank should report this to the Financial Crimes Enforcement Network (FinCEN) and receive formal guidance before sharing the information.","The foreign bank must always request approval by its national anti-financial crime authority to share any information cross-border.","","","AB","AB","AB","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"20","第五章.docx","94","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which of the following statements is true regarding the 2012Financial Action Task Force(FATF)40 Recommendations and/or11Immediate Outcomes?","The cornerstone of the 40 Recommendations is the adoption of a risk-based approach by each jurisdiction.","Each jurisdiction can reach out to the FATF for private access to the interpretive notes to the 40 Recommendations.","The 40 Recommendations have not been updated to reflect the impact of new technology.","The 11 Immediate Outcomes are recommendations specific to high-risk jurisdictions requiring enhanced monitoring.","","","A","A","A","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"21","第三章.docx","134","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which of the following is the best action to take regarding a particular account once suspicious activity is reported by the institution?","Notify the client that the transaction has been reported.","Freeze the funds pending notification from the competent authority","Secure all supporting documentation","Immediately close the account","","","C","C","C","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"22","第三章.docx","140","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","What do the FATF Recommendations require to enhance beneficial ownership transparency?","Gatekeepers","Correspondent banking","Payable through accounts","Legal persons and arrangements","","","D","D","D","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"23","第三章.docx","135","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","According to Basel Committee guidelines, which level of an organization should decide whether to enter into a business relationship with a higher-risk customer?","First-level management","Senior management","Account opening staff","Middle management","","","B","B","B","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"24","第三章.docx","136","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Under the Wolfsberg Anti-Money Laundering Principles for Private Banking, which three circumstances indicate that a customer requires enhanced due diligence? (Choose three.)","Persons receiving funds through a correspondent banking relationship","Persons associated with high-risk countries, including countries identified by reliable sources as having inadequate AML standards","Customers and beneficial owners whose wealth is derived from activities known to be susceptible to money laundering","Politically exposed persons (PEPs), including individuals who hold or have held positions of public trust","","","BCD","BCD","BCD","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"25","第三章.docx","137","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","An alert has been triggered by a monitoring system and an investigation has been opened. The activity involves significant and multiple cash deposits into a personal account and transferring funds to an offshore bank on the same day. Further investigation reveals this personal account had experienced low levels of activity for the past 6 months and funds are transferred to the account of a charitable organization. Which of the following is the next step that the Compliance Officer should take?","Prohibit further transactions with the charitable organization.","Conduct enhanced due diligence on the charity's trustees.","Place the charitable organization on the bank's internal ""watchlist.""","File a suspicious transaction report with the competent authority.","","","D","D","D","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"26","第三章.docx","138","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","An AML specialist has been hired by an independently owned community bank to implement an AML compliance program. The bank has recently experienced a sharp increase in international wire transfers from commercial customers. What should the AML specialist do first?","File a suspicious transaction report on international customers receiving large electronic fund transfers.","Conduct a risk assessment of the bank's international electronic fund transfer activity.","Develop a new account questionnaire to quantify the level of risk for new international accounts.","Close all accounts which have had a dramatic increase in international electronic fund transfer activity.","","","B","B","B","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"27","第三章.docx","139","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","When an existing customer becomes a politically exposed person (PEP), what should the KYC analyst do during the review/refresh period?","Update the list of signatories and perform enhanced due diligence in the next periodic refresh cycle.","Seek the compliance officer's advice before marking the authorized signatory as PEP.","Perform enhanced due diligence for the customer and update the KYC profile.","Update the new authorized signatories in the customer profile.","","","C","C","C","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"28","第三章.docx","12","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","When a financial institution is asked by law enforcement to provide data or information relating to terrorist financing, how should it respond?","Can be refused on the ground of bank secrecy.","Cannot be refused on the ground of bank secrecy.","Can be refused on the ground of tipping-off.","Cannot be refused on the ground of tipping-off.","","","B","B","B","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"29","第三章.docx","13","高","已确认","A→A; B→B; C→C; D→D; E→E","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","When implementing a risk-based approach related to casinos, which risks are related to the customer as an individual? (Choose two.)","Transfer between customers","Casual customers","Improper use of third parties as customers","Customer from a high-risk country","Use of casino deposit accounts by the customer","","BC","BC","BC","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"30","第三章.docx","14","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which is a key aspect in the FATF Recommendations that best describes the essential foundation for allocating resources in AML/CFT regimes for countries and financial institutions (FIs)?","Implementing targeted financial sanctions","Performing country peer-to-peer evaluations","Enforcing mutual legal assistance","Applying a risk-based approach","","","D","D","D","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"31","第三章.docx","15","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","What should authorities do to safeguard AML information exchanged with foreign counterparts?","Protect exchanged information as they would protect similar information received from domestic sources.","Require the use of non-disclosure agreements with anyone accessing the exchanged information.","Use the court system to ensure confidentiality of exchanged information through court orders.","Destroy the information once the investigation is complete.","","","A","A","A","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"32","第三章.docx","16","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Who bears the ultimate responsibility for approving a FI's relationship with a politically exposed person (PEP)?","Enhanced due diligence (EDD) compliance officer","Relationship manager","KYC analyst","Senior management","","","D","D","D","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"33","第三章.docx","17","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","According to the Financial Action Task Force, which action must a financial institution take to fulfill customer due diligence obligations?","Verify the customer is not on any sanction lists.","Identify shareholders listed on the stock exchange of corporate entities holding fifty percent of the shares.","Obtain information on the intended nature of the banking relationship.","Secure a written declaration from the customer confirming the source of the funds.","","","C","C","C","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"34","第三章.docx","18","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which statement describes a characteristic of the FATF Recommendations?","They provide a mandatory requirement list for an effective anti money laundering regulatory framework","They include global anti money laundering standards and are recognized by government agencies around the world","They are automatically converted into local laws of EU member states and the United States","They enable the Financial Action Task Force to actively participate in enforcement matters, investigations, or prosecutions","","","B","B","B","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"35","第三章.docx","19","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Under the Wolfsberg Anti-Money Laundering Principles for Correspondent Banking, which action is an enhanced due diligence measure for a higher-risk correspondent banking customer?","Approval of high-risk relationships by the Senior Management Committee","Continuous monitoring of customers located in tax haven countries","Assessment by the compliance officer in charge of the account","Review all high-risk relationships.","","","A","A","A","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"36","第三章.docx","20","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which statement identifies one of the duties of a government financial intelligence unit?","It serves as the central agency for the receipt of disclosures filed by reporting entities.","It administers and enforces economic and trade sanctions based on a government's foreign policy and national security goals.","It supervises and regulates banking institutions to ensure the safety and soundness of the nation's banking and financial system.","It prosecutes suspected money launderers and terrorist financiers based on financial institution suspicious transaction report filings.","","","A","A","A","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"37","第三章.docx","21","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which action should countries take related to the financing of terrorist acts in accordance with the Financial Action Task Force 40 Recommendations?","Oppose","Sanction","Prosecute","Criminalize","","","D","D","D","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"38","第三章.docx","22","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","A tour guide historically made monthly cash deposits averaging $10,000. Over the past three months, the deposits have averaged $100,000 per month. When questioned, the customer explains that numerous conventions have substantially increased business. What further action should the financial institution take?","Immediately terminate the relationship","Schedule a periodic review of activity","Perform further investigation, if appropriate report the activity to the authorities and consider terminating the relationship","Perform further investigation, if appropriate report the activity to the authorities and place a limit on future transactions","","","C","C","C","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"39","第三章.docx","141","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which of the following is the most Likely reason for the Financial Action Task Force to remove a jurisdiction from the Non-Cooperative Countries and Territories list?","Conducting successful annual self-assessments.","Entering into a mutual legal assistance treaty.","Joining the Wolfsberg Group.","Receiving a favorable mutual evaluation.","","","D","D","D","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"40","第三章.docx","142","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","When deficiencies are identified in the Financial Action Task Force (FATF) mutual evaluation report, the assessed country needs to?","Address the shortcomings identified in the report and agree to post-assessment monitoring by FATF.","Request exception from the relevant FATF-style regional body by submitting a report with the reasons.","Pay a penalty for the delay in adopting the FATF 40 recommendations accurately and timely.","Prepare a report to defend its position against the FATF secretariat, which is comprised of the assessors.","","","A","A","A","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"41","第三章.docx","143","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","When the Financial Action Task Force (FATF) places a jurisdiction on the list of jurisdictions under increased monitoring"", also known as the ""grey list"", the jurisdiction?","Has committed to swiftly resolving the deficiencies identified in a FATF mutual evaluation.","Poses a high money laundering, terrorist financing, and proliferation financing risk and must be restricted from accessing the international financial system.","Accepts to participate in an off-cycle FATF mutual evaluation to be held within the next 12 months.","Must pay a fine to be removed from the list before the next FATF plenary.","","","A","A","A","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"42","第三章.docx","144","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","FATF routinely publishes a list of jurisdictions subject to increased monitoring. What is this list commonly called?","Yellow notice.","Red notice.","Grey list.","White list.","","","C","C","C","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"43","第三章.docx","145","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Which action does the FATF call on member countries to take in the most serious cases when countries have significant strategic AML deficiencies?","Contribute to mutual evaluations","Apply countermeasures","Eliminate all financial dealings","Report high-risk transactions","","","B","B","B","无需修改","无明显风险；建议答案由已确认的中文答案经身份映射换算。","当前英文表达自然且与中文语义一致，建议保留。"
"44","第三章.docx","23","高","已确认","A→A; B→B; C→C; D→D; E→E","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","After a FATF mutual evaluation process, which are resulting actions for jurisdictions that are determined to have strategic deficiencies in their regimes to counter money laundering, terrorist financing, and proliferation financing? (Choose two.)","Expect private statements from FATF regarding the level of compliance of the jurisdiction, when insufficient progress is made.","Appeal to FATF for a technical compliance re-rating based on the jurisdiction's own experts' criteria.","Demonstrate a high-level commitment to swiftly resolve the identified deficiencies in the FATF mutual evaluation report.","Request FATF for an extension of deadlines in order to provide local awareness on the improvements that are necessary to solve the deficiencies.","Report to FATF on the implementation of their progress under the enhanced follow-up mechanism.","","CE","CE","CE","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"45","第三章.docx","24","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","In what two ways do regional organizations like the Financial Action Task Force influence the standards of anti-money laundering and terrorist financing in their regions? (Choose two.)","They publish texts suitable for their region.","Mutual evaluation among participating members","Law enforcement in their areas","They asked the participating countries to adopt relevant laws according to their requirements.","","","AB","AB","AB","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"46","第三章.docx","25","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","How does FATF communicate its findings on jurisdictions with strategic AML/CFT deficiencies?","By issuing documentation to the private sector","By issuing two formal documents three times per year","By issuing informal communication to FATF members","By issuing four formal documents to the deficient jurisdictions","","","B","B","B","题干润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
"47","第三章.docx","114","高","已确认","A→A; B→B; C→C; D→D","中文候选题干、选项数量及A-F语义顺序一致；采用完整身份映射。","Why should an organization integrate its AML/CFT and know-your-customer frameworks across its branches and subsidiaries?","To confirm whether suspicious activities need to be reported","To compare policies and procedures","Ensure the implementation of an appropriate customer risk rating method","Maintaining a culture of compliance","","","C","C","C","题干与选项润色","无明显风险；建议答案由已确认的中文答案经身份映射换算。","已按中文语义核对，并统一CAMS考试英语、术语、标点和选择指令。"
