"current_question_number","mapping_source_file","mapping_source_number","mapping_confidence","mapping_status","option_mapping","mapping_reason","proposed_question","proposed_A","proposed_B","proposed_C","proposed_D","proposed_E","proposed_F","current_answer","chinese_answer","proposed_answer","change_type","answer_analysis_risk","agent_notes"
"17","第二章.docx","161","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which is often an indirect consequence of non-compliance with AML laws?","Punitive fines","Drop in stock value","Sanctioning","Criminal proceedings","","","B","B","B","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"18","第二章.docx","9","高","已确认","A→A;B→B;C→C;D→D;E→E","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which are social/economic consequences of money laundering? (Choose two.)","Civil war","Weakening financial institutions","Increase in corruption and organized crime","Increase in tax revenue","Weakening of the country's infrastructure","","BC","BC","BC","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"19","第二章.docx","10","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","A compliance analyst is reviewing recent activity between a publicly traded company and a company in a high-risk jurisdiction. Which detail suggests that escalation is warranted?","The activity is a reputational risk to the financial institution.","It is the first time the originator wires the beneficiary.","Beneficiary is active in a related industry.","Payments to the beneficiary are for large dollar amounts.","","","A","A","A","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"20","第二章.docx","12","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which is the most severe consequence for a FI if the regulator finds it is in breach of AML/CFT regulatory obligations?","Civil sanctions","Loss of license","Negative reputation","Monetary fines","","","B","B","B","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"21","第二章.docx","8","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","A UK national has accounts with a bank in Belgium, who maintains a branch in New York. The UK national has been recently added and screened against the Office of Foreign Assets Control (OFAC) Specially Designated Nationals and Blocked Persons List. Which action should the Belgian bank take?","Allow all transactions up to the limit imposed by OFAC and report the transactions to the local financial intelligence unit.","Freeze the assets of the customer and report to OFAC.","Close the account and ask the customer to send the funds to a bank account in the US.","Continue performing transactions as the bank's headquarters is in Belgium.","","","B","B","B","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"22","第二章.docx","13","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","A law enforcement agency submits several requests to a FI. Which request is legitimate and requires the bank to respond?","Seize privileged documents upon written request.","Freeze an account in terms of a court order.","Produce documents and testimony without a subpoena.","Keep an account open upon verbal request.","","","B","B","B","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"23","第二章.docx","14","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which social or economic consequence may affect a country that has weak predicate offense laws and does not effectively prosecute money laundering cases?","Loss of tax revenue","Increased organized crime and corruption","United States sanctions","Reputational risk to the country.","","","B","B","B","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"24","第二章.docx","15","高","已确认","A→A;B→B;C→C;D→D;E→E","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","A high-profile, successful entrepreneur has been a client of a Swiss private bank for more than a decade. Recently, the entrepreneur launched a political career, with rather extremist political views. On which grounds can the bank terminate the client's bank relationship? (Choose two.)","The client has made its fortune in the mining and excavation industry, which the bank has deemed as a high-risk industry.","The client is not able (or willing) to provide documentary evidence of tax compliance.","The client's account has an increase in unusual and significant monthly inflows.","Continuing the client relationship poses an increasing reputational risk, which could negatively affect the bank's future business.","A business partner of the account holder requests an asset freeze, stating a business dispute and disagreement over the quality of goods and services sold to the partner.","","CD","CD","CD","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"25","第二章.docx","11","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","What reputational risk consequence could a financial entity face for violating AML laws?","Seizure of assets","Monetary penalties","Increased audit costs to monitor behavior","Loss of high-profile customers","","","D","D","D","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"26","第二章.docx","16","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","What are two legal risks arising from inadequate privacy policies and procedures? (Choose two.)","Charges of deceptive business practices","Regulatory or industry sanctions.","Diminished reputation","Higher marketing and public relations costs","","","AB","AB","AB","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"27","第二章.docx","18","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","What is a major economic consequence of money laundering through the use of front companies?","Placing more emphasis on manufacturing","Weakening of the legitimate private sector","Creating a more competitive pricing environment","Aligning management principles between criminal enterprises and legitimate businesses","","","B","B","B","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"28","第二章.docx","17","高","已确认","A→A;B→B;C→C;D→D;E→E","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Why do organized crime groups often use front companies? (Choose two).","Because they are not registered, front companies are not subject to income and other sales taxes.","Because using multiple front companies can make it easier to control an entire sector of the economy.","Because they are generally subject to lighter due diligence requirements by banks and other financial services providers.","Because front companies generally charge higher prices than legitimate companies, so profit margins are higher.","Because they can use the company's bank accounts to comingle deposits with those of legal businesses.","","BE","BE","BE","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"29","第二章.docx","19","高","已确认","A→A;B→B;C→C;D→D;E→E","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Money laundering can cause which consequences for a FI? (Choose two.)","Reduction or loss of profitable business","Increases in correspondent banking facilities","Reduction in number of employees","Increases in corporate taxes","Increases in investigation costs and fines","","AE","AE","AE","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"30","第二章.docx","20","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","In the most serious cases, when a country has major strategic AML deficiencies, what action does FATF call on its members to take?","Apply countermeasures.","Prohibit all financial transactions.","Report high-risk transactions.","Contribute to the mutual evaluation process.","","","A","A","A","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"31","第二章.docx","21","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","What are two sources for maintaining up-to-date sanctions information? (Choose two.)","U. S. Federal Bureau of Investigation's National Security Letters","U. S. Department of the Treasury Office of Foreign Assets Control","U. S. Department of the Treasury "" Section 311 "" Special Measures","Financial Action Task Force's list of High Risk and Non- Cooperative Jurisdictions","","","BC","BC","BC","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"32","第二章.docx","23","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which action does the Financial Action Task Force (FATF) recommend be taken against jurisdictions that have strategic deficiencies?","Conduct due diligence","Apply counter-measures","Add the jurisdiction to the United Nations' list of sanctioned jurisdictions","Create an action plan to address the deficiencies without the support of the FATF","","","B","B","B","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"33","第二章.docx","24","高","已确认","A→A;B→B;C→C;D→D;E→E","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Why do organized criminal groups often use shell companies? (Choose two.)","Shell companies generally charge higher prices than legitimate companies, resulting in higher profit margins.","They can use a shell company's bank account to commingle illicit deposits with deposits from legitimate businesses.","Using multiple shell companies can make it easier to control an entire sector of the economy.","Shell companies are generally subject to less stringent due diligence by banks and other financial service providers.","Because they are unregistered, shell companies are not subject to income tax or sales tax.","","BC","BC","BC","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"34","第二章.docx","162","中","待人工确认","A→B;B→A","题干和解析语义一致，但英文False/True顺序与中文正确/错误顺序相反，且中文答案字段为空。","True or false: An organization can be penalized by a competent authority only for financial crimes.","False","True","","","","","A","","A","术语统一、机器翻译改写与语言润色；含人工确认项","中：中文答案字段缺失；解析明确判定陈述错误，当前英文答案A对应False。","已将mistakes/Correct规范为False/True。建议答案A依据现有英文答案及中文解析，不是依据缺失的中文答案字段。"
"35","第二章.docx","163","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Why should an institution adopt a risk-based approach to AML?","It helps supervisors focus on AML controls in sectors other than banking.","It enables institutions to use limited resources effectively by focusing on the areas of highest money laundering risk.","Quantitative methods are always more effective than qualitative methods.","It allows institutions to focus on selling products with a higher return on investment.","","","B","B","B","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"36","第二章.docx","164","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","A credit institution receives a preliminary investigation report identifying major deficiencies in its AML obligations and warning that its banking license may be revoked. Which authority is most likely to have issued the report?","Banking self-regulatory agencies","Law enforcement agencies","Financial Action Task Force (FATF)","AML regulators","","","D","D","D","术语统一、机器翻译改写与语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"37","第二章.docx","165","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Privacy and data protection restrictions placed upon financial institutions (FIs) in the EU require that FIs must: (Choose two.)","Engage third parties to supplement any missing customer identification information.","Apply data minimization to avoid overreach in data collection.","Inform a customer of any information the FI has obtained as a result of an investigation into unusual activity.","Follow strict guidelines when using machine learning and artificial intelligence.","","","BD","BD","BD","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"38","第二章.docx","166","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which piece of information identified by customer screening would be the most likely reason to trigger consideration of exiting business relationship with a customer because of financial crime concerns?","The customer is a shareholder of a corporation declared bankrupt.","The customer is linked to an organized crime group.","The customer is a politically exposed person (PEP).","The customer allegedly violated a construction permit limit.","","","B","B","B","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"39","第二章.docx","167","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","AU. S. bank recently received a regulatory order to remediate its AML programs, which included several violations of law. What degree of accountability is it possible for the bank's senior management and employees to face?","The bank's designated AML compliance officer and senior management may face personal liability if they failed to take actions while aware of AML violations at the bank.","The bank's designated AML compliance officer is likely to face criminal prosecution because the bank received a regulatory order.","The bank's designated AML compliance officer is the only individual in the company's senior management team that can face personal liability for violation of AML laws.","The bank's designated AML compliance officer and senior management can face civil prosecution but not criminal prosecution for violation of AML laws","","","A","A","A","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"40","第二章.docx","168","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which measures help limit the collection and use of personal data when performing AML-related controls? (choose two)","Allowing unrestricted access to customer data across departments to facilitate quick decision-making.","Implementing data minimization strategies to collect only the personal data necessary for transaction monitoring.","Regularly reviewing and updating data processing policies to ensure they align with industry standards.","Allowing repurposing of collected data to avoid redundant processes","","","BC","BC","BC","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"41","第二章.docx","169","高","已确认","A→A;B→B;C→C;D→D;E→E","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which of the following are key AML measures that a regulated asset management company in the European Union(EU) should implement? (Choose Two.)","Performing negative news checks of prospective customers.","Rejecting any politically exposed persons (PEPs) as customers.","Inviting prospective customers for an onboarding interview.","Understanding the source and origin of assets.","Producing financial stability reports on interesting customers.","","AD","AD","AD","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"42","第二章.docx","170","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","A newly appointed senior money laundering reporting officer (MLRO) at a digital bank has been instructed to implement an effective AML transaction monitoring system. What are important considerations for selecting and implementing the AML system? (Choose TWO.)","Whether the monitoring system is adequate with respect to the bank's size, activities, complexity, and risks.","Whether the vendor has documented appropriate internal controls for designing the system and data integration schema.","Whether the permissions and user access settings for reviewing, investigating, and reporting details of alerts generated by the system are commensurate with those in use at other banks.","Whether the monitoring system can be configured to enable the bank to execute trend analysis of transaction activity and to identify unusual business relationships and transactions.","","","AD","AD","AD","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"43","第二章.docx","171","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","A financial institution opens a mortgage loan for a customer. During a subsequent internal review of the loan, it was noted that the appraisal used to support the loan was performed by an appraiser who was not on the institution's approved appraiser list. This exception wasapproved by the senior loan underwriter. The reviewer, who had examined other loans from the same general area, noted that the value on the loan appeared significantly higher than on other comparable properties. Which of the following should the anti-money laundering specialist recommend next?","Determine whether the loan underwriter reviewed the appraiser's license for validity.","Alert local law enforcement regarding a potential collusive relationship between the underwriter and appraiser.","Document the underwriter's actions prior to filing a suspicious transaction report.","Train the appraiser on anti-money laundering","","","A","A","A","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"44","第二章.docx","26","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","What are the regulatory risks to a bank employee who willfully violates anti-money laundering laws?","Investigation and reputational damage","Fines and suspension from the industry","Criminal investigation and imprisonment","Enforcement actions including fines against the financial institution","","","B","B","B","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"45","第二章.docx","172","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","What are two risks to institutions for violating anti-money laundering laws as demonstrated by the 2012 HSBC settlement with United States authorities? (Choose two.)","Forfeiture of assets","Civil money penalties","Loss of bank charter/license","Imprisonment of bank employees","","","AB","AB","AB","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"46","第二章.docx","102","高","已确认","A→A;B→B;C→C;D→D","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Following a recent exercise which explained how a correspondent banking operation could be used by money launderers, an anti-money laundering specialist decided to re-write the due diligence procedures for entering into agreements with foreign financial institutions. Which of the following information should be included to establish a rigorous＂Know Your Respondent＂ procedure? (Choose Three)","Respondent's management, nature of license, and major business activity.","Computer equipment and software capability.","The quality of supervision in the home country.","Respondent's location, in particular the existence of a real physical presence.","","","ACD","ACD","ACD","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
"47","第二章.docx","27","高","已确认","A→A;B→B;C→C;D→D;E→E","The English and Chinese question stems, option meanings, answer, and analysis describe the same question; option order is unchanged.","Which entities require due diligence when the correspondent banking client is not controlled by its parent? (Choose two.)","The parent of the correspondent banking client","The clients of the correspondent banking client","The entities exhibiting higher risk characteristics","The third-parties providing services to the correspondent bank","The correspondent banking client itself","","AE","AE","AE","格式规范与轻度语言润色","低：仅作语言、术语和格式润色；建议答案与已确认的中文映射一致。","已逐项核对题干、选项、答案及中文解析；保留英文选项顺序。"
