current_question_number,mapping_source_file,mapping_source_number,mapping_confidence,mapping_status,option_mapping,mapping_reason,proposed_question,proposed_A,proposed_B,proposed_C,proposed_D,proposed_E,proposed_F,current_answer,chinese_answer,proposed_answer,change_type,answer_analysis_risk,agent_notes
11,第四章.docx,7,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A comprehensive set of risk-based guidelines for maintaining business relationships is being developed. Which situation indicates that the institution should terminate the relationship with a client?,The client does business in countries with active terrorist organizations.,The client conducts international financial transactions exceeding U.S. $500 million.,The client exceeds the criteria of an acceptable risk model created by another institution that is not similar in size and complexity.,The client exceeds the criteria of an acceptable risk model created by the institution and does not perform acceptable remedial actions.,,,D,D,D,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
12,第四章.docx,9,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"A bank located in New York has identified suspicious transactions at a correspondent bank in China. For one of the international customers, the correspondent bank is not following agreed upon protocols. Which factor indicates that the bank should terminate the relationship?",The correspondent bank has opened branches in a country on the Office of Foreign Assets Control list.,The compliance officer at the correspondent bank is currently being investigated due to bribery allegations.,The correspondent bank has recently exceeded acceptable limits in the primary banks' recently developed risk model.,The primary institution has requested transactional details from the correspondent bank to aide in their investigation.,,,C,C,C,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
13,第四章.docx,10,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A compliance officer at a large financial institution has been tasked by senior management to lead a team in an internal review and potential revision of the institution's customer onboarding program following a regulatory enforcement action of another institution. Which step should the compliance officer perform first?,Reviewing the institution's risk assessment,Revising training materials for frontline staff,Conducting enhanced due diligence on high risk customers,Resolving substantive discrepancies in customer verification,,,A,A,A,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
14,第四章.docx,11,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which situations would require a financial institution (FI) to update its ML/TF risk assessment? (Choose two.),"When new products, services or customer types are introduced",When new board members are elected,When the AML compliance team hires new employees,When the institution faces a merger or acquisition,When opening a sales point in a new location in the same city,,AD,AD,AD,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
15,第四章.docx,12,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"After review of the financial institution's enterprise-wide anti-money laundering risk assessment, the new compliance officer identifies several deficiencies that need attention. Which deficiency could lead to the highest potential for unmitigated risk?",The risk assessment is several years old and does not cover all current products and services.,The risk assessment is revisited too frequently thereby diverting critical resources from other compliance tasks.,The risk assessment is managed by a different team from the previous assessment therefore disrupting continuity of institutional knowledge.,The risk assessment does not anticipate potential risks even though the financial institution has no immediate plans involving those risks.,,,A,A,A,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
16,第四章.docx,13,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,When will the Compliance Officer restart the risk assessment?,Every two years,At the time of merger and acquisition,When the board of directors is reorganized,FATF guidance,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
17,第四章.docx,14,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"A new compliance officer is reviewing the bank's anti-money laundering program and notices that the risk assessment was completed six months ago. Since that time, the bank acquired another financial institution, renamed the internal records group, and streamlined cash handling procedures. Which factor causes the compliance officer to update the bank's risk assessment?",The bank acquired another institution,The internal records group has been renamed,The cash handling procedures were streamlined,The risk assessment was completed six months ago,,,A,A,A,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
18,第四章.docx,135,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,An AML analyst at a bank is investigating cases triggered by transaction monitoring alerts. Which circumstances might cause the analyst to suspect a case involves terrorist financing?(Choose two.),Transactions involving non-profit organizations with no internet presence.,Small-dollar payments sent to crowdfunding initiatives with detailed descriptions of the project being financed.,Small-dollar payments sent to higher-risk jurisdictions with no prior history.,Transactions involving domestic non-profit organizations providing charitable aid to refugees from higher-risk countries.,Transactions involving structured currency deposits below the reporting threshold to avoid paying taxes.,,AC,AC,AC,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
19,第四章.docx,136,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,An anti-money laundering specialist at a financial institution has received a legal request to provide all transaction records for a specific individual since 2004. Which of the following items should be delivered?(Choose three.),Monthly statements and transaction activities for that individual since 2004,All wire transfers for that individual since 2004,Signature cards from accounts opened by that individual since 2004,All security trading activities for that individual since 2004,,,ABD,ABD,ABD,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
20,第四章.docx,15,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which transaction monitoring processes would alert a bank for red flag activity?,A client makes a prepayment on their credit card and a week later makes multiple cash withdrawals using an automated teller machine (ATM) in a foreign country.,A client who does not typically make extravagant credit card purchases books an airline ticket on a travel website.,A charity account receives multiple electronic transfers and then sends a wire transfer to a higher-risk country.,The company has a name that is similar to that of a company whose directors are named on the bank's internal blacklist.,,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
21,第四章.docx,137,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"A customer operates an agricultural export business whose sales to the Caribbean have grown steadily over several years. During the past month, the customer's account balance increased suddenly. Under which circumstance should an AML specialist file a suspicious transaction report (STR)?",The increased activity results from money order deposits,The incoming wire transfers originate in a Financial Action Task Force member country,The customer changed address without notifying the institution,The customer purchased travelers' checks for travel to a jurisdiction designated as a Non-Cooperative Country or Territory,,,D,D,D,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
22,第四章.docx,16,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"When performing a risk assessment, which factors should be considered when identifying and measuring risk? (Choose two.)",Customer composition,Financial performance,Product offerings,Regulatory environment,Company culture,,AC,AC,AC,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
23,第四章.docx,17,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,What correspondent banking risk factor increases the risk for a Correspondent Bank?,Multi-national financial institution with global operations,Offers international funds transfer to customers,Major service provider to money service businesses,Limited product offering to customers in high-risk jurisdictions,,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
24,第四章.docx,18,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"A compliance officer is tasked with implementing an enterprise-wide anti-money laundering program for a bank, which operates in multiple countries. Not all the bank products and services are available in all countries. Which three factors should be considered as part of the approach? (Choose three.)",The types of customers serviced by the bank,The customer onboarding platform that will be used,The extent of anti-money laundering regulations in the various countries,The anti-money laundering risk posed by the products and services offered by the bank,The amount of resources needed to implement the anti-money laundering program in the countries,,ACD,ACD,ACD,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
25,第四章.docx,19,高,已确认,A→A; B→B; C→C; D→D; E→E,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,An institution is about to release a new peer-to-peer (P2P) funds transfer product to provide much needed remittance services to an underbanked population segment in the country. The service allows customers to transfer funds through a mobile banking application to individuals worldwide entering only a name and mobile number. The new service charges less than comparable market solutions and offers real-time transfer of funds. The customer onboarding process is conducted at branch locations with identity verification. Which three present the highest anti-money laundering or sanctions risk and will require controls prior to launch? (Choose three.),Customer onboarding,Cross-border functionality,Real time transfer of funds,Servicing the underbanked population,Limited access to counterparty information,,BCE,BCE,BCE,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
26,第四章.docx,20,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A compliance officer learns from an Information Technology (IT) source of a potential new financial service being discussed by the new product approval committee. What is the correct next course of action?,Request that the new product approval committee include the compliance officer.,Go to the board of directors and try to shut the new service down immediately because the committee did not communicate with the compliance officer.,Get as much information as possible from the source so that potential risks can be researched and a report prepared and presented to the head of marketing.,Start initial research into potential risks but wait until notified that the service has been approved by the committee before initiating extensive research.,,,A,A,A,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
27,第四章.docx,21,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,An existing customer has changed its business scope and jurisdictions it deals with. Which are the steps the bank needs to take to manage sanctions compliance risk for this customer?,Perform a politically exposed persons and negative media screening,Conduct further sanction screening on the customer's directors and ultimate beneficial owners,Deploy an independent risk-based test to ensure the screening on this customer is effective,Collect further customer reference data and determine what must be screened and at which frequency,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
28,第四章.docx,22,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"To understand if the customer operates in line with the firm's risk appetite for a specific industry segment, a financial institution (FI) must:","obtain the name and address, country identification number and date of birth of a non-customer who purchases a monetary instrument.",obtain identifying information for beneficial owners through a completed certification form from the individual opening the account on behalf of the legal entity customer.,obtain sufficient customer information to understand the nature and purpose of customer relationships for the purpose of developing a customer risk profile.,"obtain the name, date of birth for an individual, address and identification number from each customer before opening the account.",,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
29,第四章.docx,139,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"When drafting an AML policy, which internal governing body must approve it?",Executive management,Audit department,Sales team management,Management of backstage operators,,,A,A,A,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
30,第四章.docx,140,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"An anti-money laundering specialist is concerned that several suspicious transaction reports will discuss potential illegal activity of bank employees. In this situation, which of the following is the immediate concern for the institution?",Prohibiting distribution of suspicious transaction report copies to the Board.,The timing of the presentation of suspicious transaction reports to the competent authority.,The type of form to be used when reporting to the Board,Ensuring no delay in informing the Board.,,,D,D,D,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
31,第四章.docx,23,高,已确认,A→A; B→B; C→C; D→D; E→E; F→F,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which steps should a financial institution (FI) take after receiving a request from law enforcement to keep an account open due to a criminal investigation?(Choose three.),Inform the customer that the account is under investigation by law enforcement.,Ask for written documentation of the request.,Freeze the account to prevent the customer from transferring the funds out.,Maintain documentation of such requests for at least five years after the request has expired.,Ensure that the request indicates the duration for the request.,File a SAR/STR based on the law enforcement request.,BDE,BDE,BDE,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
32,第四章.docx,24,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"Since its last regulatory examination, a financial institution has grown rapidly by introducing profitable new products and services. A recent examination identified significant AML program deficiencies caused primarily by inadequate leadership oversight of controls for those new offerings. Which area of internal control should leadership address first?",Anti-money laundering training,Anti-money laundering policy,Money laundering risk assessment,Anti-money laundering compliance staff,,,B,B,B,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
33,第四章.docx,25,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Findings from a regulatory examination report states that the job descriptions of personnel outside of the compliance department do not include references to anti-money laundering responsibilities. Which action should the firm take?,Update all job descriptions to include anti-money laundering responsibilities,Respond that only compliance personnel have anti-money laundering responsibilities,Send an email to all staff stating that personnel must observe the anti-money laundering policy,Reply that a description of anti-money laundering responsibilities is included in the annual training,,,A,A,A,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
34,第四章.docx,141,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which of the following measures is one that the FATF recommends that Financial Institutions (FI's) and Designated Non-Financial Businesses and Professions (DNFBPs) take to mitigate risks arising from business relationships with foreign politically exposed persons (PEPs)?,Subscribe to commercial databases to assist in the detection of PEPs.,Raise transaction monitoring thresholds for PEP accounts in automated systems to account for higher transaction values and complex legal vehicles.,Require approval from the prudential regulator for entering into or continuing the business relationship.,"Establish processes to understand the PEP's source of wealth and source of funds, and to refresh that understanding regularly",,,D,D,D,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
35,第四章.docx,142,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,An anti-money laundering specialist notes a significant reduction in suspicious transaction report filings at a particular branch. Which of the following actions is most appropriate?,Place the branch on the watchlist to assure a review during the next quarter.,Analyze the branch activity reports to determine whether there has been a decrease in branch activity.,Review branch exception reports to determine changes in activity in accordance with customer profiles.,Review staff records to see whether inexperienced personnel are in critical positions without appropriate training.,,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
36,第四章.docx,26,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A New York-based lawyer is interested in purchasing a luxury condo in Manhattan listed at $30 million for a client based in the Caribbean. The client does not want to be named on the deed and wants the purchase to be made under the name of a limited liability company (LLC). The client states that the reason for this arrangement is that he is a high-level government official who is concerned about his privacy if the purchase were to be made in his name. The funds for the purchase are to be wired from several accounts in various countries. Which two facts lead to gathering more information about this potential client before moving forward with the transaction? (Choose two.),The client is from a Caribbean country,The use of an LLC to make the purchase,The client is a high-level government official,The funds are coming from several accounts in various countries.,,,CD,CD,CD,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
37,第四章.docx,143,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"Which of the following statements best describes the role of the Board of Directors in overseeing an institution's AML governance and compliance framework, according to the Basel Committee on Banking Supervision?","The compliance function should report directly to the CEO concerning the bank's compliance with applicable laws, rules, and standards and only update the Board of Directors on the bank's efforts in managing compliance risk when required.","The compliance function must have sufficient authority, stature, independence, and resources to be effective on its own and should not have access to the Board of Directors.",The Board of Directors should be responsible for overseeing the management of the bank's compliance risk but not be involved in establishing a compliance policy that explains the processes by which compliance risks are to be identified and managed throughout the organization.,"The Board of Directors should establish a compliance function and approve the bank's policies for identifying, assessing, monitoring, reporting, and advising on compliance risk.",,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
38,第四章.docx,144,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,An AML specialist at a large bank reviews the account activity of customers identified as suspicious. Which three situations should receive the highest priority as AML red flags? (Choose three.),A customer threatened employees and tried to prevent the bank from complying with the record-keeping regulations.,Money-laundering prevention experts are not familiar with customers and the countries where they trade.,The company account shows only a small amount of activity or no regular activity.,Employees complain that they have to submit a large number of reports to the Financial Crimes Inspection Bureau.,,,ABC,ABC,ABC,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
39,第四章.docx,145,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,An AML compliance officer is drafting plans to address deficiencies identified in an independent audit. Which approach is the best option?,Draft action plans in consultation with the jurisdiction's FIU to remain aligned with other similar companies.,Only commit to action plans that can be implemented and closed within the three-month management reporting cycle.,Draft action plans that will take many months to fully implement to address the root cause of the deficiencies.,Only commit to action plans that require no new investment to maximize shareholder value.,,,C,C,C,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
40,第四章.docx,146,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,An AML compliance officer receives an independent audit report with a number of findings. An appropriate response to the report would include:,Performing the testing for the controls mentioned in the findings to confirm the results of the audit.,Assigning responsibility for reviewing the action plan to the board of directors.,Drafting detailed action plans for the audit team to execute to close the findings.,Defining remedial actions based on the findings' root cause analysis.,,,D,D,D,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
41,第四章.docx,147,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,When under a regulator's consent order or similar action. who at an organization is ultimately accountable for the remediation of any violations of AML/CFT laws and regulations?,Chief Operating Officer (COO),Board of Directors,Designated AML Compliance Officer,Chief Executive Officer (CEO),,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
42,第四章.docx,148,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"During an ongoing investigation into a client's activities by a competent authority, a compliance officer should?",Ensure communication with regulatory and law enforcement authorities is conducted only through senior management.,Communicate only in writing with regulatory and law enforcement authorities in line with applicable local laws.,Communicate with regulatory and law enforcement authorities in line with applicable local laws.,Limit communication with regulatory and law enforcement authorities to the absolute minimum.,,,C,C,C,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
43,第四章.docx,149,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Which element is generally required of all anti-money laundering programs?,A computer based Suspicious Activity Monitoring System,A qualified compliance officer to manage the program,Annual in person AML training for all employees,An enhanced due diligence plan for all new customers,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
44,第四章.docx,150,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,Sanctions screening requirements include that a FI should:,immediately close the bank account of an entity who appears on a sanctions list.,compare customer and transaction records against periodically updated sanctions lists provided by governmental bodies.,report an individual whose name appears on a sanctions list to the police.,immediately freeze the bank account of an individual that appears on a sanctions list.,,,B,B,B,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
45,第四章.docx,27,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,"During a branch compliance review, a financial institution identifies numerous cash transactions above the reporting threshold for which no currency transaction reports (CTRs) were filed. The transactions were handled by the same recently hired teller, who had not yet received AML training. The branch manager received daily reports of large-cash exceptions and CTR filings. What should the compliance officer recommend as the initial action?",erminate the teller's (cashier's) employment prior to the expiration of the probation period.,An audit should be conducted for cash transactions since the last compliance review.,The branch manager should be formally reprimanded for failing to ensure proper instruction was given.,The teller's (cashier's) employment should be suspend with pay pending appropriate training,,,B,B,B,机翻改写与专业润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
46,第四章.docx,28,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,One area of responsibility for the Board of Directors when implementing a successful AML program is to:,ensure the appointment of a qualified chief AML officer.,create a culture of compliance based on the profit expectation.,manage the day-to-day processes of the compliance program.,hire a third-party firm to be responsible for the AML compliance.,,,A,A,A,无需实质修改,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
47,第四章.docx,29,高,已确认,A→A; B→B; C→C; D→D,题干主题、全部选项语义、选项数量及答案结构均与候选中文题一致；选项顺序一致。,A compliance officer receives a report from the institution's monitoring system. One account was identified in multiple alerts for the amount of cash deposited and international wires sent. Which two sources of information held within the institution will enable the compliance officer to determine whether the activity should be reported? (Choose two.),The signature card for the account,The customer due diligence information on file,The monitoring system parameters for identifying unusual activity,Transaction records for the period during which the unusual activity occurred,,,BD,BD,BD,格式、拼写与语言润色,未发现明显答案或解析风险。,保持英文选项字母及顺序；建议内容不含题号或题型标签。
