编号,领域,年份,题名,作者,标识符,开放来源,本地文件,状态,页数,方法,目标表示,评价或结论,对P7E的直接价值
16,工业-化学流程,2025,ChemActor: Enhancing Automated Extraction of Chemical Synthesis Actions with LLM-Generated Data,"Yu Zhang; Ruijie Yu; Jidong Tian; Feng Zhu; Jiapeng Liu; Xiaokang Yang; Yaohui Jin; Yanyan Xu",DOI:10.18653/v1/2025.acl-long.1183,https://aclanthology.org/2025.acl-long.1183.pdf,16_industry_2025_chemactor_llm_generated_data.pdf,已下载并核验,24,"数据选择、通用LLM生成训练数据、专用模型全量微调",机器可执行的化学动作序列,"用LLM合成数据缓解标注不足并提高动作抽取性能","支持用高质量LLM标注小批card桥接样本，再训练/优化低成本候选器"
26,医学-可计算指南,2020,A Computer-Interpretable Guideline for COVID-19: Rapid Development and Dissemination,"Shan Nan; Tianhua Tang; Hongshuo Feng; Yijie Wang; Mengyang Li; Xudong Lu; Huilong Duan",DOI:10.2196/21628,https://medinform.jmir.org/2020/10/e21628/PDF,26_medical_2020_cig_covid_rapid_development.pdf,已下载并核验,12,"翻译、解释、标注、抽取、形式化六步法；GDL规则与原型验证",openEHR archetype、18条GDL规则、Drools规则,"27个archetype；用公开数据验证原型正确性","证明高风险规范应经历语义解释、形式化和执行验证，而非只做格式校验"
28,医学-指南执行,2023,Automated Monitoring of Adherence to Evidence-Based Clinical Guideline Recommendations: Design and Implementation Study,"Gregor Lichtner et al.",DOI:10.2196/41177,https://www.jmir.org/2023/1/e41177/PDF,28_medical_2023_automated_guideline_adherence_monitoring.pdf,已下载并核验,16,"临床工作过程分析、利益相关者需求共识、模块化原型",FHIR格式的指南建议、适用性和执行状态,"COVID-19建议场景原型；提出适用性、实施状态、数据互操作等核心需求","支持把适用条件与实际执行/下游结果分开建模；本研究不是自动流程抽取"
29,医学-LLM指南抽取,2025,Extracting Clinical Guideline Information Using Two Large Language Models: Evaluation Study,"Hsing-Yu Hsu; Lu-Wen Chen; Wan-Tseng Hsu; Yow-Wen Hsieh; Shih-Sheng Chang",DOI:10.2196/73486,https://www.jmir.org/2025/1/e73486/PDF,29_medical_2025_llm_clinical_guideline_extraction.pdf,已下载并核验,10,"GPT-4o与Gemini-1.5-Pro各重复20次；跨模型比较、60%一致性阈值、人工复核",385条药物基因指南建议的5类结构化分类,"准确率93.5%/92.7%；模型一致的341项仅1项与专家不一致；人工复核量降低88.6%","为P7E的重复推理、双模型/双提示分歧队列和人工复核阈值提供强证据；它抽取分类而非流程图"
31,建筑规范,2024,Automated Building Information Modeling Compliance Check through a Large Language Model Combined with Deep Learning and Ontology,"Nanjiang Chen; Xuhui Lin; Hai Jiang; Yi An",DOI:10.3390/buildings14071983,https://www.mdpi.com/2075-5309/14/7/1983/pdf,31_building_2024_llm_dl_ontology_compliance.pdf,已下载并核验,28,"轻量本体、深度学习预分类、LLM结构化抽取、BIM合规检查",本体概念/属性、结构化规则、检查结果,"融合分类模型验证集准确率约0.97；案例验证完整管线","支持先缩小候选/分类，再让LLM做语义判断，最后做图规则校验"
32,建筑规范,2023,Automated Code Compliance Checking Research Based on BIM and Knowledge Graph,"Junlong Peng; Xiangjun Liu",DOI:10.1038/s41598-023-34342-1,https://www.nature.com/articles/s41598-023-34342-1.pdf,32_building_2023_bim_kg_code_compliance.pdf,已下载并核验,12,"NLP把规范条文转为KG模式，再与BIM的RDF数据映射并执行规则",人机可读知识图谱、RDF映射、审查规则,工程示例验证可行性,"支持flow图与源card接口保持可追溯映射，而不是生成孤立摘要"
34,建筑规范,2019,A Generalized Adaptive Framework (GAF) for Automating Code Compliance Checking,"Nawari O. Nawari",DOI:10.3390/buildings9040086,https://www.mdpi.com/2075-5309/9/4/86/pdf,34_building_2019_generalized_adaptive_framework.pdf,已下载并核验,17,"通用自适应框架，将自然语言规范转为中性数据标准下的可计算模型",规则模型、IFC数据、合规检查模块,框架与建筑规范案例讨论,"支持把抽取、映射、检查拆成独立层，避免P7E把所有职责塞进一次调用"
36,建筑规范,2015,A Rule-Based Semantic Approach for Automated Regulatory Compliance in the Construction Sector,"T. H. Beach; Y. R. Rezgui; H. Li; T. Kasim",DOI:10.1016/j.eswa.2015.02.029,https://orca.cardiff.ac.uk/id/eprint/75451/1/1-s2.0-S095741741500165X-main.pdf,36_building_2015_rule_based_semantic_compliance.pdf,已下载并核验,29,"把目标领域、具体法规、待检查数据格式三个语义上下文解耦；专家编制语义规则",本体、法规规则、IFC数据映射,"真实建筑数据与专业人员验证；完整法规方案在18个月内实现自动化","P7E需区分card语义、桥接规则语义和最终flow存储语义"
37,建筑安全本体,2022,Construction Safety Ontology Development and Alignment with Industry Foundation Classes (IFC),"Karim Farghaly; Ranjith K. Soman; William Collinge; Mojgan Hadi Mosleh; Patrick Manu; Clara Man Cheung",DOI:10.36680/j.itcon.2022.005,https://www.itcon.org/paper/2022/5,37_building_2022_construction_safety_ontology_ifc.pdf,已下载并核验,15,"从165个事故案例和31份新闻稿归纳8个概念，再映射IfcOWL并用SPARQL检验",SHE安全本体、IfcOWL映射,SPARQL语义一致性和跨本体映射验证,"直接支持用真实card样本开放编码，再冻结关系类型并做机器约束"
42,法律/监管文本,2018,Automated Extraction of Semantic Legal Metadata Using Natural Language Processing,"Amin Sleimi; Nicolas Sannier; Mehrdad Sabetzadeh; Lionel C. Briand; John Dann",DOI:10.1109/RE.2018.00022,https://orbilu.uni.lu/bitstream/10993/36581/1/main.pdf,42_legal_2018_semantic_legal_metadata_nlp.pdf,已下载并核验,12,"调和法律需求元数据类型；依存/成分句法和规则抽取",agent、action、modality、condition、constraint、exception、time、location、reference、sanction等,"案例研究显示规则能以较高准确率生成元数据标注","是P7E条件、例外、触发、约束、主体等flow-edge/flow-node字段的重要来源"
43,法律文本KG,2020,Joint Entity and Relation Extraction for Legal Documents with Legal Feature Enhancement,"Yanguang Chen; Yuanyuan Sun; Zhihao Yang; Hongfei Lin",DOI:10.18653/v1/2020.coling-main.137,https://aclanthology.org/2020.coling-main.137.pdf,43_legal_2020_joint_entity_relation_extraction.pdf,已下载并核验,11,"多任务联合实体/关系抽取，加入法律实体特征",法律三元组和知识图谱,"中文涉毒裁判文书三元组抽取F1为0.836","说明联合节点-边判断可减少纯流水线误差传播，但对象不是流程图"
U01,建筑规范,2016,Semantic NLP-Based Information Extraction from Construction Regulatory Documents for Automated Compliance Checking,"Jiansong Zhang; Nora M. El-Gohary",DOI:10.1061/(ASCE)CP.1943-5487.0000346,https://doi.org/10.1061/(ASCE)CP.1943-5487.0000346,,未下载（出版社付费墙）,0,"语义与句法NLP、监管信息抽取",可计算合规语义信息,"建筑规范NLP经典高被引研究","高度相关，保留书目供后续机构权限获取"
U02,建筑规范,2012,Extraction of Construction Regulatory Requirements from Textual Documents Using Natural Language Processing Techniques,"J. Zhang; N. El-Gohary",DOI:10.1061/9780784412343.0057,https://doi.org/10.1061/9780784412343.0057,,未下载（出版社付费墙）,0,"NLP抽取施工监管要求",结构化监管要求,早期会议论文,"高度相关，保留书目供后续机构权限获取"
U03,工业-工程规则,2020,Automatic Extraction of Engineering Rules From Unstructured Text: A Natural Language Processing Approach,"Xinfeng Ye; Yuqian Lu",DOI:10.1115/1.4046333,https://doi.org/10.1115/1.4046333,,未下载（出版社付费墙）,0,"NLP识别工程规则并形式化",工程规则,"面向非结构化工程文本","直接相关，需机构权限"
U04,工业-制造规则,2021,Extraction of Formal Manufacturing Rules from Unstructured English Text,"SungKu Kang et al.",DOI:10.1016/j.cad.2021.102990,https://doi.org/10.1016/j.cad.2021.102990,,未下载（作者仓储当前返回403）,0,"语义框架和形式规则抽取",形式化制造规则,"作者稿标记为green OA但当前仓储阻断自动访问","直接相关，保留OA定位信息"
U05,工业-自驱实验室,2025,Natural Language Processing for Automated Workflow and Knowledge Graph Generation in Self-Driving Labs,Bastian Ruehle,"DOI:10.1039/D5DD00063G; preprint:10.26434/chemrxiv-2025-0p7xx",https://pubs.rsc.org/en/content/articlepdf/2025/dd/d5dd00063g,,未下载（开放站点Cloudflare阻断自动访问）,0,"150万以上实验程序的半自动动作图标注；训练Transformer；动作图到节点图和KG",action graph、node graph、knowledge graph,"开放数据、模型、编辑器和KG脚本；论文为diamond OA","与P7E从文本到可编辑节点图最接近，建议优先人工浏览器下载"
U06,建筑安全规范,2024,Information Integration of Regulation Texts and Tables for Automated Construction Safety Knowledge Mapping,"Haoxi Wang; Sheng Xu; Dongdong Cui; Hong Xu; Hanbin Luo",DOI:10.1061/JCEMD4.COENG-14436,https://doi.org/10.1061/JCEMD4.COENG-14436,,未下载（出版社付费墙）,0,"联合规范正文和表格的信息抽取与知识映射",施工安全知识图谱,"较新的多模态规范抽取研究","提示未来P7E不能只看正文，还需处理表格/附件引用"
U07,医学-可计算指南,2013,Automatic Information Extraction for Computerized Clinical Guideline,"Zhu Huijia; Ni Yuan; Cai Peng; Cao Feng",DOI:10.3233/978-1-61499-289-9-1023,https://doi.org/10.3233/978-1-61499-289-9-1023,,未下载（出版平台不可直接取得合法PDF）,0,"临床指南信息自动抽取",可计算临床指南要素,"早期方法论文","保留用于补齐医学自动抽取谱系"
