question_id,recommended_common_unit_count,recommended_pool,recommended_pool_unit_count,risk_flags,s0a_added,s0a_avg_change_ratio,s0a_changed_heads,s0a_common,s0a_dropped,s0a_heads,s0b_added,s0b_avg_change_ratio,s0b_changed_heads,s0b_common,s0b_dropped,s0b_heads,s0c_added,s0c_avg_change_ratio,s0c_changed_heads,s0c_common,s0c_dropped,s0c_heads
v7_q_000017,30,baseline_union_s0c,30,"['s0a_high_disruption', 's0b_high_disruption']",47,0.8769,5,13,47,5,40,0.7939,5,20,40,5,0,0.0,0,60,0,5
v7_q_000018,14,baseline_union_s0c,30,"['s0a_high_disruption', 's0b_high_disruption', 's0c_high_disruption']",33,0.7088,5,27,33,5,29,0.6493,5,31,29,5,27,0.6179,5,33,27,5
v7_q_000019,17,baseline_union_s0c,35,"['s0a_high_disruption', 's0b_high_disruption', 's0c_high_disruption']",38,0.7747,5,22,38,5,36,0.7438,5,24,36,5,30,0.6583,5,30,30,5
v7_q_000020,11,baseline_union_s0c,22,[],23,0.551,5,37,23,5,22,0.5353,5,38,22,5,20,0.4953,5,40,20,5
v7_q_000021,24,baseline_union_s0c,24,[],6,0.1333,1,54,6,5,7,0.1474,1,53,7,5,0,0.0,0,60,0,5
v7_q_000022,17,baseline_union_s0c,25,[],29,0.6463,5,31,29,5,22,0.5353,5,38,22,5,18,0.46,5,42,18,5
v7_q_000023,14,baseline_union_s0c,24,[],24,0.5404,5,36,20,5,23,0.5204,5,37,19,5,18,0.426,5,42,14,5
v7_q_000024,45,baseline_union_s0c,45,[],8,0.16,1,52,8,5,7,0.1474,1,53,7,5,0,0.0,0,60,0,5
v7_q_000025,34,baseline_union_s0c,42,"['s0a_high_disruption', 's0b_high_disruption']",40,0.7913,5,20,40,5,33,0.7031,5,27,33,5,7,0.1474,1,53,7,5
v7_q_000026,23,baseline_union_s0c,23,[],0,0.0,0,60,0,5,0,0.0,0,60,0,5,0,0.0,0,60,0,5
v7_q_000027,14,baseline_union_s0c,34,"['s0a_high_disruption', 's0b_high_disruption', 's0c_high_disruption']",33,0.7057,5,27,33,5,27,0.6196,5,33,27,5,33,0.7057,5,27,33,5
v7_q_000028,9,baseline_union_s0c,16,[],18,0.46,5,42,18,5,17,0.44,5,43,17,5,17,0.44,5,43,17,5
v7_q_000029,29,baseline_union_s0c,43,[],20,0.4267,3,40,20,5,15,0.3074,2,45,15,5,11,0.251,2,49,11,5
v7_q_000030,21,baseline_union_s0c,21,[],0,0.0,0,60,0,5,0,0.0,0,60,0,5,0,0.0,0,60,0,5
v7_q_000031,15,baseline_union_s0c,26,['s0b_high_disruption'],29,0.6457,5,31,29,5,27,0.6177,5,33,27,5,19,0.4724,5,41,19,5
v7_q_000032,24,baseline_union_s0c,24,['s0a_high_disruption'],37,0.7581,5,23,37,5,0,0.0,0,60,0,5,0,0.0,0,60,0,5
v7_q_000033,24,baseline_union_s0c,24,['s0b_high_disruption'],30,0.6583,5,30,30,5,30,0.665,5,30,30,5,0,0.0,0,60,0,5
v7_q_000034,11,baseline_union_s0c,23,[],19,0.4753,5,41,19,5,18,0.4453,5,42,18,5,14,0.3743,5,46,14,5
v7_q_000035,12,baseline_union_s0c,18,[],6,0.1802,5,54,6,5,18,0.4576,5,42,18,5,18,0.46,5,42,18,5
v7_q_000036,29,baseline_union_s0c,29,[],0,0.0,0,60,0,5,0,0.0,0,60,0,5,0,0.0,0,60,0,5
v7_q_000037,29,baseline_union_s0c,29,[],0,0.0,0,60,0,5,0,0.0,0,60,0,5,0,0.0,0,60,0,5
v7_q_000038,22,baseline_union_s0c,22,[],22,0.5353,5,38,22,5,15,0.3971,5,45,15,5,0,0.0,0,60,0,5
v7_q_000039,7,baseline_union_s0c,19,"['s0a_high_disruption', 's0b_high_disruption', 's0c_high_disruption']",38,0.7747,5,22,38,5,35,0.7354,5,25,35,5,29,0.651,5,31,29,5
v7_q_000040,17,baseline_union_s0c,30,"['s0b_high_disruption', 's0c_high_disruption']",32,0.6917,5,28,32,5,35,0.734,5,25,35,5,22,0.5353,5,38,22,5
v7_q_000041,15,baseline_union_s0c,29,"['s0b_high_disruption', 's0c_high_disruption']",29,0.6426,5,31,29,5,38,0.7713,5,22,38,5,21,0.5074,5,39,21,5
v7_q_000042,13,baseline_union_s0c,23,[],12,0.3279,5,48,12,5,11,0.305,5,49,11,5,13,0.3508,5,47,13,5
v7_q_000043,29,baseline_union_s0c,29,['s0a_high_disruption'],41,0.8043,5,19,41,5,9,0.2176,2,51,9,5,0,0.0,0,60,0,5
v7_q_000044,13,baseline_union_s0c,23,[],19,0.48,5,41,19,5,18,0.4548,5,42,18,5,18,0.46,5,42,18,5
v7_q_000045,16,baseline_union_s0c,24,[],30,0.665,5,30,30,5,18,0.46,5,42,18,5,15,0.4,5,45,15,5
v7_q_000046,18,baseline_union_s0c,30,[],11,0.2899,5,49,11,5,20,0.5,5,40,20,5,18,0.46,5,42,18,5
v7_q_000047,34,baseline_union_s0c,34,[],25,0.5286,5,32,23,5,19,0.4667,5,37,18,5,0,0.0,0,55,0,5
v7_q_000048,38,baseline_union_s0c,38,[],7,0.1474,1,53,7,5,8,0.16,1,52,8,5,0,0.0,0,60,0,5
v7_q_000049,34,baseline_union_s0c,34,['s0a_high_disruption'],40,0.7953,5,20,40,5,0,0.0,0,60,0,5,0,0.0,0,60,0,5
v7_q_000050,31,baseline_union_s0c,33,[],3,0.08,1,57,3,5,3,0.08,1,57,3,5,2,0.0571,1,58,2,5
